nr,bereich,nische,beispielprodukte,typischer_aov_eur,typische_provision,provision_pro_bestellung_eur,hauptprogramme_beleg,kaufintention_1_5,visual_viral_1_5,ai_fit_1_5,passivitaet_1_5,compliance_trust_risiko,cross_platform_1_5,produkte_pro_content,theme_page_affiliate_belegt,saisonalitaet,markt_hypothese,status,hauptgrund,datenqualitaet
1,Wohnen,Interior / Home Decor Finds,"Lampen, Vasen, Teppiche, Kissen, Wandbilder",25–150,"DE/UK 5 % Amazon, 8 % Connox/Nordic Nest; US 3 % Amazon",1–8,"Amazon (A), Connox 8 %/60 T, Nordic Nest ≥8 %, AllModern 8 %/45 T (A)",4,4,3,3,MEDIUM,4,5–10,"ja (EN: trendyhomefinds1, divaa.finds, stylerior – I)",gering,"DE (Content-Lücke 19,5×, 5 %)",Shortlist K04/K05,"Beleg für Modell (EN), DE-Lücke",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
2,Wohnen,"Möbel (Big Ticket: Sofa, Esstisch, Bett)","Sofas, Tische, Betten",300–3.000,"3–8 % (Amazon 3–5 %, AllModern 8 %, Williams-Sonoma 1 %)",15–150,"AllModern 8 %, Wayfair, Castlery/Article (A); home24/IKEA ohne Programm (A)",3,4,3,3,MEDIUM,4,3–6,teilweise (nur als Teil von Interior-Pages),gering,US,in K04/K05/K29 enthalten,"niedrige CVR (DY Home 1,2 %), regionale Lieferung, WSI-Gruppe schließt anonyme Accounts aus",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
3,Wohnen,Luxury Homes / Immobilien-Showcase,keine kaufbaren Produkte (Immobilien),n/a,n/a,0,keine sinnvollen Programme,1,5,4,5,LOW,5,0,nein (Reichweite ohne Kauflink – I),gering,EN,verworfen,keine Produkte → keine Affiliate-Ökonomie,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
4,Wohnen,AI-Architektur / AI-Dream-Interiors,'ähnliche' Möbel/Deko,40–400,3–8 %,1–20,"Amazon, AllModern (A)",2,5,5,5,MEDIUM,5,2–5,"nein (Dreamy Interior 315k, Bau Rausch 620k ohne Kauflinks – I, J)",keine,EN,Shortlist K29 (Referenz),"maximaler AI-Fit, aber Unterhaltungs-Views (K: ~0–3 $/1 Mio.)",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
5,Wohnen,Smart Home,"Licht, Thermostate, Kameras, Saugroboter",40–600,"3 % Amazon DE; Nanoleaf 10 %, Ring 10 %, Ecovacs 5 %",2–30,"Nanoleaf, Ring (A), Govee (B), Ecovacs (C)",3,3,3,3,LOW-MEDIUM,3,2–5,nein (keine DE-Page belegt – I),gering,DE,Shortlist K16,"erklärungsbedürftig, weniger visuell",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
6,Wohnen,Home Organization,"Boxen, Regale, Organizer",15–80,3–5 % Amazon; Container Store 2 %; Yamazaki 7 %,"0,5–4","Yamazaki 7 % (C), Amazon",4,4,3,4,LOW-MEDIUM,4,4–8,ja (thatorganizedhome – I),Jan. (Neujahr),EN/DE,Longlist,niedriger AOV; in K04/K06 abbildbar,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
7,Wohnen,Cleaning / Putzgadgets,"Reiniger, Saugroboter, Putztools",15–600,"Dyson DE 7 % Content, SharkNinja 5 %, Amazon 3–5 %",1–30,"Dyson DE, SharkNinja (C)",4,4,2,3,MEDIUM,4,1–3,teilweise (Reichweite ohne Links: CrazyClean01 – I),Frühjahr,DE,Longlist,"Reinigungsergebnis muss echt sein → AI-Fit gering; DE-Community ähnlich aktiv (F: 1,3×)",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
8,Wohnen,Schlaf / Matratzen / Bettwäsche,"Matratzen, Bettwäsche, Kissen",60–1.500,"8–12 % bzw. 150 $ (DreamCloud, Nectar)",30–150,"DreamCloud, Nectar, Simba (A)",2,1,3,4,MEDIUM,2,1–3,nein,gering,US/UK,Shortlist K25,"nicht visuell, Probezeit-Retouren, Review-Seiten dominieren",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
9,Wohnen,Kinderzimmer / Kids Room Design,"Kinderbetten, Deko, Spielzeug",30–500,"3–7 % (Pinolino 5 %, Amazon 3 %)",1–20,"Pinolino, babymarkt (C)",3,4,3,3,MEDIUM-HIGH,4,4–8,unbekannt,gering,DE,Longlist,Kinder-/Eltern-Zielgruppe = höheres Trust-/Compliance-Risiko,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
10,Wohnen,Balkon / Small Space Living (inkl. Balkonkraftwerk),"Balkonmöbel, Pflanzen, Balkonkraftwerke",30–800,"Amazon 3–5 %, EcoFlow 5 % (7 T)",1–40,"EcoFlow DE (D), Amazon",3,3,4,3,LOW-MEDIUM,4,3–6,unbekannt,stark (Apr.–Aug.),DE,Longlist,"DE-spezifisch interessant, aber Programme dünn und Cookie kurz (EcoFlow 7 T)",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
11,Küche,Küchengadgets,"Schneider, Spender, Helfer",15–60,"DE/UK 5 %, US 4,5 % Amazon","0,6–2,5",Amazon Küche (A),5,4,3,4,MEDIUM,4,1–5,"ja (Justice Buys 2,1 Mio. YT/616k IG – I)",Q4 Geschenke,DE,Shortlist K06/K07,höchste Kaufintention; niedriger Warenkorb,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
12,Küche,Küchengeräte & Kochgeschirr (Premium),"Küchenmaschine, Airfryer, Messer, Pfannen",80–700,"5–8 % (Zwilling 6,4–8 %, KitchenAid 7 %, SharkNinja 5 %)",5–40,"Zwilling, KitchenAid, SharkNinja, WMF (B)",4,4,4,4,LOW-MEDIUM,4,3–6,teilweise,Q4 Geschenke,DE/EN,in K31/K32,statische Geräte → Freisteller in AI-Szenen zuverlässig (H 10.2),Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
13,Küche,Kaffee / Espresso-Setups,"Siebträger, Mühlen, Waagen, Tamper",50–900,"7 % De'Longhi DE, bis 8 % Breville, bis 15 % De'Longhi US (CLAIMED)",5–60,"De'Longhi, Breville/Sage, Coffee Circle 60 T, Coffee Friend 10 % (B)",4,4,3,4,LOW-MEDIUM,4,3–6,nein (baristadaily: Reichweite ohne Links – I),Q4,EN/DE,Shortlist K08/K09 → K31/K32,bestes AOV×Provision-Verhältnis in Teil B,Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
14,Küche,Home Bar / Cocktails,"Shaker, Gläser, Barwagen",20–300,Amazon 3–5 %; Alkohol 0 %,1–10,Amazon (Alkohol ausgeschlossen – A),3,4,4,4,MEDIUM,4,3–6,unbekannt,Q4,EN,verworfen,"Alkohol-Werbung reguliert, Alkohol 0 % bei Amazon",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
15,Küche,Food / Rezepte (ohne Produktfokus),"Zutaten, Lebensmittel",20–60,Amazon Lebensmittel 1 %,"0,2–0,6",Amazon Fresh 1 % (A),2,5,3,4,LOW,5,0–2,nein,gering,EN,verworfen,"Viral, aber kaum Provision",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
16,Outdoor,BBQ / Grill / Pizzaöfen / Outdoor Kitchen,"Pizzaöfen, Kamados, Pelletgrills, Plancha",60–5.000,"5–10 % (Ooni 10 %, SANTOS 10/7 %, BBQGuys 6 %, Solo Stove 5–10 %)",5–150,"Ooni, Gozney, SANTOS, BBQGuys, Blackstone (C)",4,5,3,3,LOW-MEDIUM,4,3–6,unbekannt,stark (März–Aug.),US/DE,Shortlist K12/K13,"hohe Provision pro Bestellung, aber Saisonalität",Provisionen/AOV: VERIFIED/THIRD-PARTY laut 03_affiliate_programs.csv; Rubriken 1–5: MODEL ASSUMPTION mit Begründung; Belege: quellen/*.md (Buchstabe in Klammern)
