niche,label,segment_definition,topics,n_topics,topic_median_of_medians,topic_max_median,topics_with_supply_label,supply_sum_reels_on_topic,supply_median_reels_on_topic,median_views_per_1k_reels,n_slots,fresh_share_180d,n_recent,recent_median_adj,slot_ai_share,slot_theme_page_share,slot_unique_handles,seg_n_small_lt100k,seg_small_median_views,seg_n,seg_n_adj,seg_median_adj,seg_median_views,seg_p90_views,seg_share_viral_5x,seg_median_comments_per_view,seg_fresh_share_180d,seg_share_of_all_ai,seg_unique_handles,seg_specialists_ge2,seg_top_handles,seg_share_high_shoppability,seg_share_people,low_confidence,ratio_vs_rest_ai,ci95_low,ci95_high,mannwhitney_p
impossible_locations,Luxury Homes in Impossible Locations,AI & realism=fantasy_impossible,waterfall-house;impossible-architecture;surreal-architecture;capsule-castle-luxury-space-capsule-houses,4,54615.25,187000.0,2.0,25000.0,12500.0,8624.30357142857,48.0,0.375,18.0,1.026,0.208,0.188,45.0,29,35000.0,53,53,2.275,320000.0,6000000.000000002,0.491,0.0004372027972027,0.491,0.0764,45,8,archibible:2;visionbuildofficial:2;sunt_mrr:2;astralgate.ai:2,0.0,0.264,False,2.81,1.453,4.299,0.0021596459814370657
ai_mountain_coast,Alpine & coastal edge homes (setting),"AI & landscape in (mountain, ocean_beach)",swiss-chalet;chalet;aspen;mountain-house,4,468750.0,1050000.0,4.0,21308000.0,5500000.0,138.57142857142856,48.0,0.521,25.0,1.022,0.109,0.348,42.0,22,219500.0,61,59,1.803,521000.0,3710000.0,0.373,0.0004011111111111,0.262,0.0879,51,9,aiforarchitects:3;diycraftstvofficial:2;urban_lifestyle_lab:2;visionbuildofficial:2,0.0,0.164,False,2.21,1.066,2.798,0.01775575222509121
alpine,Alpine / Swiss concept homes,AI & landscape=mountain,swiss-chalet;chalet;aspen;mountain-house,4,468750.0,1050000.0,4.0,21308000.0,5500000.0,138.57142857142856,48.0,0.521,25.0,1.022,0.109,0.348,42.0,9,604000.0,34,33,1.719,910000.0,3780000.0,0.303,0.0003,0.206,0.049,30,4,diycraftstvofficial:2;aiforarchitects:2;miladeshtiyaghi:2;naturesms:2,0.0,0.235,False,2.059,0.924,6.134,0.0351386023693865
garden,AI landscaping / garden transformations,"AI & room in (garden_landscape, terrace_outdoor)",landscape-design-ai;landscape-design;luxury-garden;garden-design;backyard-design;outdoor-living,6,557750.0,1087000.0,5.0,119982000.0,31000000.0,21.47435897435897,72.0,0.458,33.0,0.908,0.486,0.208,55.0,34,334000.0,69,69,1.359,713000.0,9700000.000000007,0.551,0.00021288011695905,0.522,0.0994,60,7,fromrawto_real:4;diniz_nasaroba:2;day_design_101:2;neuraltransform:2,0.058,0.261,False,1.694,1.044,2.372,0.03480895850893404
bathrooms,Impossible / statement bathrooms,AI & room=bathroom,luxury-bathroom-design;luxury-bathroom;quiet-luxury-bathroom;luxury-bathroom-interior-design-inspiration;bathroom-design;hotel-bathroom-designs,6,462750.0,1134500.0,3.0,49124000.0,4000000.0,117.375,72.0,0.431,31.0,1.44,0.463,0.179,47.0,17,370000.0,28,28,1.449,429000.0,3160000.0000000014,0.5,0.0001291255144032,0.679,0.0403,24,3,luxoraify:3;zaxzaaafrica:2;jareef__saifi:2;polliviva:1,0.321,0.143,False,1.733,1.012,2.976,0.13387510373869776
stairs,Statement staircases & halls,AI & room=stairs_hall,,0,,,,,,,,,,,,,,11,147000.0,16,16,2.235,303000.0,8200000.0,0.625,0.00030846938775509996,0.5,0.0231,16,0,zinapoyalar_uz:1;luxuriatetouche:1;lovedwellstudio:1;archimyst1:1,0.25,0.125,False,2.663,1.045,4.094,0.15299786405945695
underground,Underground oases / bunkers,AI & caption/notable matches underground|bunker|cave|subterran,underground-house;inside-underground-bunker-house,2,812000.0,1109500.0,1.0,687000.0,687000.0,1614.9927219796216,24.0,0.458,11.0,2.067,0.458,0.458,19.0,13,16000.0,27,27,1.811,539000.0,14200000.00000001,0.444,0.0002106172839506,0.407,0.0389,24,3,elitebuildhq:2;cozyzen.ai:2;naturesms:2;thehomopien:1,0.0,0.37,False,2.097,0.486,6.508,0.2491958311534045
waterfall,Waterfall & water houses,AI & caption/notable matches waterfall,waterfall-house,1,187000.0,187000.0,1.0,11000.0,11000.0,17000.0,12.0,0.583,7.0,1.844,0.667,0.333,12.0,16,131950.0,27,26,1.214,214500.0,1700000.0,0.462,0.0004197179813401,0.63,0.0389,23,3,urban_lifestyle_lab:3;rodnova_installation_:2;roomify.design:2;stylishnorrastudios:1,0.111,0.037,False,1.418,0.771,3.003,0.49299299471814806
treehouse,Treehouse homes,ALL & building=treehouse (AI n too small),treehouse;treehouse-hotel;arctic-treehouse-hotel-rovaniemi,3,1600000.0,2650000.0,1.0,9800000.0,9800000.0,270.40816326530614,36.0,0.389,14.0,0.716,0.333,0.121,31.0,7,429000.0,26,26,0.908,2000000.0,5900000.0,0.577,0.0002548148148148,0.538,0.0375,25,1,travelask.world:2;sandiwara_multiverse.99:1;craftlab2050:1;homemaking55:1,0.038,0.538,False,,,,
treehouse_ai,Treehouse homes (AI only),AI & building=treehouse,treehouse;treehouse-hotel;arctic-treehouse-hotel-rovaniemi,3,1600000.0,2650000.0,1.0,9800000.0,9800000.0,270.40816326530614,36.0,0.389,14.0,0.716,0.333,0.121,31.0,3,425000.0,11,11,0.952,2700000.0,7100000.0,0.636,0.00024,0.727,0.0159,10,1,travelask.world:2;sandiwara_multiverse.99:1;craftlab2050:1;homemaking55:1,0.0,0.545,True,1.099,0.254,5.027,0.650933238132778
