programm_id,nische,brand_haendler,url_programm,netzwerk,zielmarkt,provision,provision_datenqualitaet,cookie_dauer,cookie_datenqualitaet,aov_bekannt,social_media_erlaubt,instagram_erlaubt,deep_links,produktfeed_api,internationale_lieferung,besonderheiten,quelle_url,pruefdatum,quelle_datei
P-A001,Amazon (alle),Amazon US – Luxury Beauty / Luxury Stores Beauty 10%,https://affiliate-program.amazon.com/,Direct (Amazon Associates),US (amazon.com),10%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – Social-Media-UGC gilt als 'Site' (Account-URL im Antrag/Konto listen); akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur auf Käufe im jeweiligen Amazon-Store (amazon.com); Geo-Routing via OneLink/Geniuslink nötig,"Standardsatz lt. Commission Income Statement; seit 14.04.2026: Käufe über bezahlte/geboostete Anzeigen disqualifiziert, 180-Tage-Versand/Zahlungsfrist, Onsite-Provision nur auf gleiche ASIN-Variante; DMs nur 'solicited' (Opt-in); Pflichttext 'As an Amazon Associate I earn from qualifying purchases'; Freischaltung nach 3 Verkäufen in 180 Tagen; individuell verhandelte Publisher-Sätze wurden 2026 lt. Adweek um bis zu 50% gekürzt",https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A002,Amazon (alle),Amazon US – Amazon Explore 10%,https://affiliate-program.amazon.com/,Direct (Amazon Associates),US (amazon.com),10%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – Social-Media-UGC gilt als 'Site' (Account-URL im Antrag/Konto listen); akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur auf Käufe im jeweiligen Amazon-Store (amazon.com); Geo-Routing via OneLink/Geniuslink nötig,"Standardsatz lt. Commission Income Statement; seit 14.04.2026: Käufe über bezahlte/geboostete Anzeigen disqualifiziert, 180-Tage-Versand/Zahlungsfrist, Onsite-Provision nur auf gleiche ASIN-Variante; DMs nur 'solicited' (Opt-in); Pflichttext 'As an Amazon Associate I earn from qualifying purchases'; Freischaltung nach 3 Verkäufen in 180 Tagen; individuell verhandelte Publisher-Sätze wurden 2026 lt. Adweek um bis zu 50% gekürzt",https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A003,Amazon (alle),Amazon US – Handmade 5%,https://affiliate-program.amazon.com/,Direct (Amazon Associates),US (amazon.com),5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – Social-Media-UGC gilt als 'Site' (Account-URL im Antrag/Konto listen); akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur auf Käufe im jeweiligen Amazon-Store (amazon.com); Geo-Routing via OneLink/Geniuslink nötig,"Standardsatz lt. Commission Income Statement; seit 14.04.2026: Käufe über bezahlte/geboostete Anzeigen disqualifiziert, 180-Tage-Versand/Zahlungsfrist, Onsite-Provision nur auf gleiche ASIN-Variante; DMs nur 'solicited' (Opt-in); Pflichttext 'As an Amazon Associate I earn from qualifying purchases'; Freischaltung nach 3 Verkäufen in 180 Tagen; individuell verhandelte Publisher-Sätze wurden 2026 lt. Adweek um bis zu 50% gekürzt",https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A004,Amazon (alle),Amazon US – Kitchen 4.5%,https://affiliate-program.amazon.com/,Direct (Amazon Associates),US (amazon.com),4.5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – Social-Media-UGC gilt als 'Site' (Account-URL im Antrag/Konto listen); akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur auf Käufe im jeweiligen Amazon-Store (amazon.com); Geo-Routing via OneLink/Geniuslink nötig,"Standardsatz lt. Commission Income Statement; seit 14.04.2026: Käufe über bezahlte/geboostete Anzeigen disqualifiziert, 180-Tage-Versand/Zahlungsfrist, Onsite-Provision nur auf gleiche ASIN-Variante; DMs nur 'solicited' (Opt-in); Pflichttext 'As an Amazon Associate I earn from qualifying purchases'; Freischaltung nach 3 Verkäufen in 180 Tagen; individuell verhandelte Publisher-Sätze wurden 2026 lt. Adweek um bis zu 50% gekürzt",https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A005,Amazon (alle),Amazon US – Automotive 4.5%,https://affiliate-program.amazon.com/,Direct (Amazon Associates),US (amazon.com),4.5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – Social-Media-UGC gilt als 'Site' (Account-URL im Antrag/Konto listen); akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur auf Käufe im jeweiligen Amazon-Store (amazon.com); Geo-Routing via OneLink/Geniuslink nötig,"Standardsatz lt. Commission Income Statement; seit 14.04.2026: Käufe über bezahlte/geboostete Anzeigen disqualifiziert, 180-Tage-Versand/Zahlungsfrist, Onsite-Provision nur auf gleiche ASIN-Variante; DMs nur 'solicited' (Opt-in); Pflichttext 'As an Amazon Associate I earn from qualifying purchases'; Freischaltung nach 3 Verkäufen in 180 Tagen; individuell verhandelte Publisher-Sätze wurden 2026 lt. Adweek um bis zu 50% gekürzt",https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A006,Amazon (alle),Amazon US – Physical Books 4.5%,https://affiliate-program.amazon.com/,Direct (Amazon Associates),US (amazon.com),4.5%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – Social-Media-UGC gilt als 'Site' (Account-URL im Antrag/Konto listen); akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur auf Käufe im jeweiligen Amazon-Store (amazon.com); Geo-Routing via OneLink/Geniuslink nötig,"Standardsatz lt. Commission Income Statement; seit 14.04.2026: Käufe über bezahlte/geboostete Anzeigen disqualifiziert, 180-Tage-Versand/Zahlungsfrist, Onsite-Provision nur auf gleiche ASIN-Variante; DMs nur 'solicited' (Opt-in); Pflichttext 'As an Amazon Associate I earn from qualifying purchases'; Freischaltung nach 3 Verkäufen in 180 Tagen; individuell verhandelte Publisher-Sätze wurden 2026 lt. Adweek um bis zu 50% gekürzt",https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A007,Amazon (alle),Amazon US – Apparel 4%,https://affiliate-program.amazon.com/,Direct (Amazon Associates),US (amazon.com),4%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – Social-Media-UGC gilt als 'Site' (Account-URL im Antrag/Konto listen); akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur auf Käufe im jeweiligen Amazon-Store (amazon.com); Geo-Routing via OneLink/Geniuslink nötig,"Standardsatz lt. Commission Income Statement; seit 14.04.2026: Käufe über bezahlte/geboostete Anzeigen disqualifiziert, 180-Tage-Versand/Zahlungsfrist, Onsite-Provision nur auf gleiche ASIN-Variante; DMs nur 'solicited' (Opt-in); Pflichttext 'As an Amazon Associate I earn from qualifying purchases'; Freischaltung nach 3 Verkäufen in 180 Tagen; individuell verhandelte Publisher-Sätze wurden 2026 lt. Adweek um bis zu 50% gekürzt",https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A008,Amazon (alle),Amazon US – Jewelry 4%,https://affiliate-program.amazon.com/,Direct (Amazon Associates),US (amazon.com),4%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – Social-Media-UGC gilt als 'Site' (Account-URL im Antrag/Konto listen); akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur auf Käufe im jeweiligen Amazon-Store (amazon.com); Geo-Routing via OneLink/Geniuslink nötig,"Standardsatz lt. Commission Income Statement; seit 14.04.2026: Käufe über bezahlte/geboostete Anzeigen disqualifiziert, 180-Tage-Versand/Zahlungsfrist, Onsite-Provision nur auf gleiche ASIN-Variante; DMs nur 'solicited' (Opt-in); Pflichttext 'As an Amazon Associate I earn from qualifying purchases'; Freischaltung nach 3 Verkäufen in 180 Tagen; individuell verhandelte Publisher-Sätze wurden 2026 lt. Adweek um bis zu 50% gekürzt",https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A009,Amazon (alle),Amazon US – Watches 4%,https://affiliate-program.amazon.com/,Direct (Amazon Associates),US (amazon.com),4%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – Social-Media-UGC gilt als 'Site' (Account-URL im Antrag/Konto listen); akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur auf Käufe im jeweiligen Amazon-Store (amazon.com); Geo-Routing via OneLink/Geniuslink nötig,"Standardsatz lt. Commission Income Statement; seit 14.04.2026: Käufe über bezahlte/geboostete Anzeigen disqualifiziert, 180-Tage-Versand/Zahlungsfrist, Onsite-Provision nur auf gleiche ASIN-Variante; DMs nur 'solicited' (Opt-in); Pflichttext 'As an Amazon Associate I earn from qualifying purchases'; Freischaltung nach 3 Verkäufen in 180 Tagen; individuell verhandelte Publisher-Sätze wurden 2026 lt. Adweek um bis zu 50% gekürzt",https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A010,Amazon (alle),Amazon US – Luggage 4%,https://affiliate-program.amazon.com/,Direct (Amazon Associates),US (amazon.com),4%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – Social-Media-UGC gilt als 'Site' (Account-URL im Antrag/Konto listen); akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur auf Käufe im jeweiligen Amazon-Store (amazon.com); Geo-Routing via OneLink/Geniuslink nötig,"Standardsatz lt. Commission Income Statement; seit 14.04.2026: Käufe über bezahlte/geboostete Anzeigen disqualifiziert, 180-Tage-Versand/Zahlungsfrist, Onsite-Provision nur auf gleiche ASIN-Variante; DMs nur 'solicited' (Opt-in); Pflichttext 'As an Amazon Associate I earn from qualifying purchases'; Freischaltung nach 3 Verkäufen in 180 Tagen; individuell verhandelte Publisher-Sätze wurden 2026 lt. Adweek um bis zu 50% gekürzt",https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
P-A011,Amazon (alle),Amazon US – Shoes 4%,https://affiliate-program.amazon.com/,Direct (Amazon Associates),US (amazon.com),4%,VERIFIED,24 Std. Session; Warenkorb-Add innerhalb Session -> Kauf bis 89 Tage nach Klick,VERIFIED,UNKNOWN,"Ja – Social-Media-UGC gilt als 'Site' (Account-URL im Antrag/Konto listen); akzeptiert: Facebook (keine Privatprofile), Instagram, Twitter/X, YouTube, TikTok, Twitch – Pinterest NICHT gelistet","Ja (exakte Profil-URL registrieren; Pflichthinweis muss mit dem Account verknüpft sein, z.B. Bio)","Ja (Produkt-/Suchlinks mit Tag; Linkkürzer nur wenn klar erkennbar auf Amazon verlinkt, z.B. amzn.to)",Creators API (Nachfolger der abgekündigten PA-API 5; Voraussetzung: mind. 10 qualifizierte Verkäufe in 30 Tagen),Provision nur auf Käufe im jeweiligen Amazon-Store (amazon.com); Geo-Routing via OneLink/Geniuslink nötig,"Standardsatz lt. Commission Income Statement; seit 14.04.2026: Käufe über bezahlte/geboostete Anzeigen disqualifiziert, 180-Tage-Versand/Zahlungsfrist, Onsite-Provision nur auf gleiche ASIN-Variante; DMs nur 'solicited' (Opt-in); Pflichttext 'As an Amazon Associate I earn from qualifying purchases'; Freischaltung nach 3 Verkäufen in 180 Tagen; individuell verhandelte Publisher-Sätze wurden 2026 lt. Adweek um bis zu 50% gekürzt",https://affiliate-program.amazon.com/help/node/topic/GRXPHT8U84RAYDXZ,2026-09-26,quellen/raw_programs_A.csv
