video_url,kanal,nische_cluster,views,upload_datum,gruppe,laenge_s,szenen,hook,erster_frame,on_screen_text,loop,kamerabewegung,pov,musik,voice,story_struktur,trigger_primär,trigger_sekundär,produkte_sichtbar,produkte_kaufbar,ki_merkmale,purchase_intent,quelle,datenqualitaet
https://www.youtube.com/shorts/oXZJn4vWxbk,Bacon Story,KI-Story-Serien (animiert/Roblox/Moral),22678064,2026-08-12,top20,58,45,[Hook-Typ: Schock/Konflikt/Gefahr-Aussage; bekannte Figur/IP/Marke: nein] Kind sticht Messer in Soldatenstiefel; „If you're a real soldier it won't hurt“.,Roblox-Kind mit roten Haaren und Spongebob-Shirt vor einem Tresen.,Mitlaufende Untertitel des gesamten Dialogs.,nein,"Schnelle Schnittfolge, wechselnde Perspektiven.",nein,Dramatische Hintergrundmusik.,KI-TTS-Erzähler und verschiedene Charakterstimmen.,Belästigung durch Kind/Mutter eskaliert zu vorgetäuschtem Unfall; Twist durch befreundeten Polizisten klärt Situation moralisch auf. | Tempo: schnell | CTA: nein,Shock,Moral/Wholesome,"Roblox, Spongebob-Shirt, Nike-Logo, Lamborghini-ähnlicher Sportwagen.",nein,Keine; typische 3D-Animation einer Spieleplattform. | Stil: Roblox/Spiel-Engine Animation.,ENTERTAINMENT,YouTube-Proxy; NexLev watch_youtube_video_and_ask (Gemini-Videoanalyse) + raw_youtube_proxy_top_shorts.csv/youtube_video_details,"VIDEO-ANALYSE (Gemini watch); Views exakt (raw_youtube_proxy_top_shorts.csv); Datum CSV; Trigger aus Gemini-Codierung, vom Analysten normiert"
https://www.youtube.com/shorts/aPLTW4I7K6k,Bacon Story,KI-Story-Serien (animiert/Roblox/Moral),17615378,2026-08-05,top20,52,34,"[Hook-Typ: Schock/Konflikt/Gefahr-Aussage; bekannte Figur/IP/Marke: nein] Der Vater schreit: ""If I find you, I'll kill you"", was sofortige Bedrohung und Spannung erzeugt.",Ein wütender Roblox-Charakter im weißen Unterhemd hält ein Messer.,"Mitlaufende Untertitel des narrativen Textes (z.B. ""our father yelled"", ""I'll k*ll you"").",nein,Dynamische Schnittfolge mit Zooms und wechselnden Perspektiven innerhalb der 3D-Umgebung.,nein,"Dramatische, spannungsgeladene orchestrale Musik.",KI-TTS-Erzähler und synchronisierte Charakterstimmen.,"Ein Training eskaliert zur Gefahr, als der Bruder die Kontrolle verliert und mit einer Spritze gestoppt werden muss. | Tempo: schnell | CTA: nein",Shock,Curiosity,Roblox (visueller Stil).,nein,Keine visuelle KI erkennbar; Einsatz von KI-Stimmen (TTS) für die Vertonung. | Stil: Roblox/Spiel-Engine 3D-Animation.,ENTERTAINMENT,YouTube-Proxy; NexLev watch_youtube_video_and_ask (Gemini-Videoanalyse) + raw_youtube_proxy_top_shorts.csv/youtube_video_details,"VIDEO-ANALYSE (Gemini watch); Views exakt (raw_youtube_proxy_top_shorts.csv); Datum CSV; Trigger aus Gemini-Codierung, vom Analysten normiert"
https://www.youtube.com/shorts/R9xuvAuk2x4,Bacon Story,KI-Story-Serien (animiert/Roblox/Moral),516000,2026-09-15,bottom50,49,30,"[Hook-Typ: Alltags-/Beschreibungs-Einstieg; bekannte Figur/IP/Marke: nein] Der Protagonist erzählt, wie sein Stuhl unter seinem Gewicht zusammenbrach und er während eines Tests zu Boden fiel.",Ein Roblox-Charakter sitzt an einem Schultisch und schaut direkt in die Kamera.,"""my chair broke under"", ""fell to the floor"", ""lose weight"", ""smart weight loss fridge"", ""unhealthy food detected"", ""fatty and happy""",nein,Schnelle Schnittfolge mit gezielten Zooms auf die Reaktionen der Charaktere.,nein,"Dramatische, spannungsgeladene Hintergrundmusik.",KI-TTS-Erzähler.,"Mobbing führt zu einem Diätversuch mit einem autoritären KI-Kühlschrank, der eskaliert und im gewaltsamen Abbruch der Diät endet. | Tempo: schnell | CTA: nein",Humor,Transformation,Roblox (Plattform).,nein,Verwendung einer KI-generierten Text-to-Speech-Stimme für die Erzählung. | Stil: Roblox/Spiel-Engine.,ENTERTAINMENT,YouTube-Proxy; NexLev watch_youtube_video_and_ask (Gemini-Videoanalyse) + raw_youtube_proxy_top_shorts.csv/youtube_video_details,"VIDEO-ANALYSE (Gemini watch); Views gerundet (YouTube-Shorts-Liste via NexLev youtube_channel_shorts); Datum youtube_video_details; Trigger aus Gemini-Codierung, vom Analysten normiert"
https://www.youtube.com/shorts/HJoCmDrK40k,Bacon Story,KI-Story-Serien (animiert/Roblox/Moral),547000,2026-08-30,bottom50,51,32,"[Hook-Typ: Alltags-/Beschreibungs-Einstieg; bekannte Figur/IP/Marke: nein] ""I was dying to pee when my friend slammed his whole body against the toilet door.""","Ein Roblox-Charakter im weißen Unterhemd steht verzweifelt vor einer Wand; Text ""I was dying"" ist eingeblendet.","Wörtliche Untertitel des Voiceovers (z.B. ""I was dying"", ""toilet door"", ""Gucci pants"", ""girl screamed"", ""we were dating"").",nein,Schnelle Schnittfolge mit statischen Kamerapositionen und gelegentlichen Zooms auf Gesichter.,nein,"Spannungsbetonte, orchestrale Hintergrundmusik.",KI-TTS-Erzähler (männlich).,Dringendes Bedürfnis → Verdacht auf Entführung/Mord → Überraschende Enthüllung einer geheimen Liebesbeziehung. | Tempo: schnell | CTA: nein,Curiosity,Shock,Gucci (Muster auf der Hose des Charakters).,nein,Keine visuellen KI-Merkmale; klassische 3D-Animation. Voiceover ist eine typische KI-generierte Stimme. | Stil: Roblox/Spiel-Engine (3D-Animation).,ENTERTAINMENT,YouTube-Proxy; NexLev watch_youtube_video_and_ask (Gemini-Videoanalyse) + raw_youtube_proxy_top_shorts.csv/youtube_video_details,"VIDEO-ANALYSE (Gemini watch); Views gerundet (YouTube-Shorts-Liste via NexLev youtube_channel_shorts); Datum youtube_video_details; Trigger aus Gemini-Codierung, vom Analysten normiert"
https://www.youtube.com/shorts/RkFPlXS-hus,Sailor Blox,KI-Story-Serien (animiert/Roblox/Moral),7181195,2026-08-16,top20,50,31,"[Hook-Typ: Raetsel/Paradox/Regelwelt-Praemisse; bekannte Figur/IP/Marke: nein] ""He woke up with a full glass of water on his nightstand"" wird gesagt und eingeblendet.","Ein gelber Roblox-Charakter liegt im Bett, darüber der Text ""he woke up with a"".","""DRINK IT AND YOU'LL FORGET"", Untertitel des Erzählers.",ja,Schnelle Schnittfolge mit dynamischen Zooms und wechselnden Perspektiven.,nein,Melancholische Klaviermusik.,KI-TTS-Erzähler.,"Ein Mann vermeidet lebenslang Wasser aufgrund einer mysteriösen Notiz, die sich als betrunkener Scherz seiner Frau entpuppt. | Tempo: schnell | CTA: nein",Curiosity,Reveal,"Sony (Logo auf Fernseher), Roblox-Stil.",nein,KI-generierte Erzählerstimme; visuell klassische 3D-Animation im Roblox-Stil ohne KI-Bildfehler. | Stil: Roblox/Spiel-Engine 3D-Animation.,ENTERTAINMENT,YouTube-Proxy; NexLev watch_youtube_video_and_ask (Gemini-Videoanalyse) + raw_youtube_proxy_top_shorts.csv/youtube_video_details,"VIDEO-ANALYSE (Gemini watch); Views exakt (raw_youtube_proxy_top_shorts.csv); Datum CSV; Trigger aus Gemini-Codierung, vom Analysten normiert"
https://www.youtube.com/shorts/ke5mIoaLjXY,Sailor Blox,KI-Story-Serien (animiert/Roblox/Moral),6465427,2026-08-20,top20,62,24,[Hook-Typ: Raetsel/Paradox/Regelwelt-Praemisse; bekannte Figur/IP/Marke: nein] Ein Junge schaut bei der Beerdigung seines Großvaters heimlich in den Sarg und findet ihn leer vor.,Ein Roblox-Charakter im blauen Hoodie mit Smiley-Logo vor einem bewölkten Himmel.,"""when he was 12 he peeked"", ""it was empty"", ""he slept with his lamp on"", ""Grandpa's ashes were in the little jar""",nein,Schnelle Schnittfolge mit meist statischen Perspektiven innerhalb der Spiel-Engine.,nein,"Mysteriöse, leicht unheimliche Hintergrundmusik.",KI-TTS-Erzähler,"Ein Junge glaubt 50 Jahre lang an ein übernatürliches Verschwinden, bis ein Twist die rationale Erklärung liefert. | Tempo: mittel | CTA: nein",Curiosity,Reveal,Roblox (Spiel-Engine),nein,Offensichtliche KI-Text-to-Speech-Stimme; die visuellen Inhalte stammen aus einer Spiel-Engine. | Stil: Roblox/Spiel-Engine Animation,ENTERTAINMENT,YouTube-Proxy; NexLev watch_youtube_video_and_ask (Gemini-Videoanalyse) + raw_youtube_proxy_top_shorts.csv/youtube_video_details,"VIDEO-ANALYSE (Gemini watch); Views exakt (raw_youtube_proxy_top_shorts.csv); Datum CSV; Trigger aus Gemini-Codierung, vom Analysten normiert"
https://www.youtube.com/shorts/VQKU75l7Ph4,Sailor Blox,KI-Story-Serien (animiert/Roblox/Moral),54000,2026-08-17,bottom50,45,18,"[Hook-Typ: Raetsel/Paradox/Regelwelt-Praemisse; bekannte Figur/IP/Marke: nein] ""I went to the same college class for a whole semester before I found out it didn't exist.""",Ein Roblox-Charakter mit weißen Haaren und Kappe sitzt wütend an einem Schultisch.,"""it didn't exist"", ""ROOM 118"", ""NO DATA"", ""Prof. Arthur Vance""",ja,"Schnelle Schnittfolge, statische Kamera mit gelegentlichen Zooms.",nein,Melancholische Lofi-Hintergrundmusik.,KI-TTS-Erzähler,"Ein Student belegt einen Kurs, der offiziell nicht existiert, und entdeckt die selbstlose Motivation eines pensionierten Professors. | Tempo: mittel | CTA: nein",Curiosity,Reveal,Roblox,nein,KI-generierte Erzählstimme (TTS); visuell eine klassische Roblox-Animation ohne KI-Bildgenerierung. | Stil: Roblox/Spiel-Engine,ENTERTAINMENT,YouTube-Proxy; NexLev watch_youtube_video_and_ask (Gemini-Videoanalyse) + raw_youtube_proxy_top_shorts.csv/youtube_video_details,"VIDEO-ANALYSE (Gemini watch); Views gerundet (YouTube-Shorts-Liste via NexLev youtube_channel_shorts); Datum youtube_video_details; Trigger aus Gemini-Codierung, vom Analysten normiert"
https://www.youtube.com/shorts/QJa2Yel_j9o,Tyler,KI-Story-Serien (animiert/Roblox/Moral),5004830,2026-09-22,top20,24,14,"[Hook-Typ: Schock/Konflikt/Gefahr-Aussage; bekannte Figur/IP/Marke: nein] ""A woman swallowed a pen and nobody believed her for 25 years.""",Eine Roblox-Figur mit lila Gesicht steht vor einer Treppe und hält sich die Hände vor den Mund.,"""swallowed a"", ""nobody"", ""for 25 years"", ""HELLO""",ja,"Statische Einstellungen, gezielte Zooms und eine schnelle Schnittfolge.",nein,"Spannende, rhythmische Hintergrundmusik.",KI-TTS-Erzähler,Behauptung eines Unfalls → Skepsis der Ärzte über Jahrzehnte → Späte Entdeckung und Beweis durch einen Scan. | Tempo: schnell | CTA: nein,Shock,Curiosity,keine,nein,Die Erzählstimme ist eine deutlich erkennbare KI-Text-to-Speech-Stimme. | Stil: Roblox/Spiel-Engine,ENTERTAINMENT,YouTube-Proxy; NexLev watch_youtube_video_and_ask (Gemini-Videoanalyse) + raw_youtube_proxy_top_shorts.csv/youtube_video_details,"VIDEO-ANALYSE (Gemini watch); Views exakt (raw_youtube_proxy_top_shorts.csv); Datum CSV; Trigger aus Gemini-Codierung, vom Analysten normiert"
https://www.youtube.com/shorts/GUe2MVCHXXk,Tyler,KI-Story-Serien (animiert/Roblox/Moral),4359626,2026-09-11,top20,40,18,"[Hook-Typ: Schock/Konflikt/Gefahr-Aussage; bekannte Figur/IP/Marke: nein] Ein 10-jähriges Mädchen schreit ihre Eltern an, den Strand zu verlassen, während niemand versteht, warum.","Ein Roblox-Charakter (Mädchen) rennt am Strand; Text ""a 10-year-old"" ist eingeblendet.","a 10-year-old, screaming at, to get off, right now, overreacting, 30 feet high, didn't lose.",nein,"Schnelle Schnittfolge, statische Einstellungen mit leichten Zooms und Schwenks innerhalb der Spiel-Engine.",nein,"Dramatische Hintergrundmusik, am Ende emotionaler Song.",KI-TTS-Erzähler (männlich).,Warnung vor Gefahr -> Ignoranz der Mitmenschen -> Rettung durch Beharrlichkeit -> Auflösung/Wissen. | Tempo: schnell | CTA: nein,Shock,Moral/Wholesome,"Roblox (Spiel-Engine), Sony (Markenlogo auf Röhrenfernseher).",nein,"KI-generierte Erzählstimme (TTS); die visuellen Inhalte stammen aus einer Spiel-Engine, nicht von einer Video-KI. | Stil: Roblox/Spiel-Engine Animation, am Ende ein reales Foto der echten Person.",ENTERTAINMENT,YouTube-Proxy; NexLev watch_youtube_video_and_ask (Gemini-Videoanalyse) + raw_youtube_proxy_top_shorts.csv/youtube_video_details,"VIDEO-ANALYSE (Gemini watch); Views exakt (raw_youtube_proxy_top_shorts.csv); Datum CSV; Trigger aus Gemini-Codierung, vom Analysten normiert"
https://www.youtube.com/shorts/WjHnFDVWTO8,Tyler,KI-Story-Serien (animiert/Roblox/Moral),209000,2026-09-12,bottom50,37,16,"[Hook-Typ: Schock/Konflikt/Gefahr-Aussage; bekannte Figur/IP/Marke: nein] ""A park ranger was struck by lightning seven times and survived every single one.""",Ein Roblox-Charakter als Parkranger geht nachts einen Weg entlang.,Mitlaufende Untertitel des gesprochenen Textes.,nein,Schnelle Schnittfolge mit statischen und leicht gezoomten Roblox-Szenen.,nein,"Dramatische, spannungsgeladene Hintergrundmusik.",KI-TTS-Erzähler,Einleitung (Überleben von 7 Blitzeinschlägen) → Chronologische Eskalation der Vorfälle → Tragischer Twist am Ende (Frau wird getroffen). | Tempo: schnell | CTA: nein,Shock,Wissen,Roblox,nein,"KI-generierte Erzählstimme; Bildmaterial stammt aus der Roblox-Engine, keine KI-Bildgenerierung ersichtlich. | Stil: Roblox/Spiel-Engine",ENTERTAINMENT,YouTube-Proxy; NexLev watch_youtube_video_and_ask (Gemini-Videoanalyse) + raw_youtube_proxy_top_shorts.csv/youtube_video_details,"VIDEO-ANALYSE (Gemini watch); Views gerundet (YouTube-Shorts-Liste via NexLev youtube_channel_shorts); Datum youtube_video_details; Trigger aus Gemini-Codierung, vom Analysten normiert"
