handle,plattform,nische_cluster,follower_heute,follower_vorher,vorher_angabe,wachstum_pct,quelle,datenqualitaet,ai_status
grannyruthsredflags,Instagram,KI-Senioren-Charaktere (Rezepte/Hausmittel),134184,50000,2026-09-10 → 2026-09-26 (16 T),168.4,AvatarFactory + Instastatistics,"THIRD-PARTY OBSERVED (Zeitraum abweichend, siehe vorher_angabe)",LIKELY
grandmaroseremedies,Instagram,KI-Senioren-Charaktere (Rezepte/Hausmittel),154788,82000,2026-09-11 → 2026-09-26 (15 T),88.8,AvatarFactory-Tagesreihe + Instastatistics,"THIRD-PARTY OBSERVED (Zeitraum abweichend, siehe vorher_angabe)",LIKELY
cookwithgrace2026,Instagram,KI-Senioren-Charaktere (Rezepte/Hausmittel),127822,90147,2026-09-10 → 2026-09-26 (16 T),41.8,AvatarFactory + Instastatistics,"THIRD-PARTY OBSERVED (Zeitraum abweichend, siehe vorher_angabe)",LIKELY
chloe.vs.history,Instagram,KI-Geschichte/POV/Zeitreise,715000,547000,2026-04-01 → 2026-09-18 (170 T),30.7,avatarfactory.io-Scans / Snippets,"THIRD-PARTY OBSERVED (Zeitraum abweichend, siehe vorher_angabe)",VERIFIED
chefdos_ia,Instagram,KI-Senioren-Charaktere (Rezepte/Hausmittel),204914,173000,2026-09-17 → 2026-09-26 (9 T),18.4,AvatarFactory + Instastatistics,"THIRD-PARTY OBSERVED (Zeitraum abweichend, siehe vorher_angabe)",LIKELY
grannyspills,Instagram,AI Virtual Influencer / AI-Persona,2200000,1900000,1900000 (Snapshot 2026-08-20),15.8,"'1 Mio. Follower innerhalb weniger Wochen' (creatorflow/Suchsnippets); 1,9M (kolsquare 2026-08-20); 2,2M (creatorflow 2026-09); '2 million' (Such-Snippet invideo/hypefy)","THIRD-PARTY OBSERVED (zwei datierte Snapshots, ~+300K in ~1 Monat; Rundung beachten)",VERIFIED
hua_jin123,Instagram,KI-Senioren-Charaktere (Rezepte/Hausmittel),1027991,932021,2026-08-12 → 2026-09-26 (45 T),10.3,AvatarFactory,"THIRD-PARTY OBSERVED (Zeitraum abweichend, siehe vorher_angabe)",VERIFIED
fit_aitana,Instagram,AI Virtual Influencer / AI-Persona,404000,393000,393000 (Snapshot 2026-08-20),2.8,"362K (yoloco 2025-05-30); ~386K (bracai 2026-02-06 / aipulled Apr 2026); 391K (nataliajohansson, Stand 2026-05-11); 402K+ (hypefy 2026-07-31); 393K (kolsquare 2026-08-20); 404K (creatorflow 2026-09)","THIRD-PARTY OBSERVED (verschiedene Quellen, gerundet, nicht streng monoton) -> ca. +3% in 120 Tagen",VERIFIED
hua_jin123,Instagram,AI Baby/Character,1027991,1004313,1004313 (2026-08-27),2.4,AvatarFactory-Tagesreihe 2026-08-12..09-18,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",VERIFIED
grandmagigiofficial,Instagram,AI Baby/Character,338435,331987,331987 (2026-08-27),1.9,AvatarFactory-Tagesreihe 2026-06-21..09-18,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",LIKELY
grannyspills,Instagram,AI Baby/Character,2162172,2137442,2137442 (2026-08-27),1.2,"AvatarFactory-Tagesreihe 2026-06-21..09-18; Instastatistics-Snapshots 2026-08-12=2115559, 2026-09-21=2154699; 1M nach 22 Tagen (2025-07-26), 1,8M am 2025-11-14 (startupspells)","THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26); SELF-REPORTED/Presse fuer 2025",VERIFIED
auntieauroraa,Instagram,AI Baby/Character,120303,120774,120774 (2026-08-27),-0.4,AvatarFactory-Tagesreihe 2026-06-21..09-18,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",VERIFIED
imma.gram,Instagram,AI Virtual Influencer / AI-Persona,380000,386000,386000 (Snapshot 2026-08-20),-1.6,391K+ (yoloco 2025-05); ~387K (aipulled Apr 2026/bracai Feb 2026); 379K (hypefy 2026-07-31); 386K (kolsquare 2026-08-20); ~380K (nataliajohansson 2026-09),THIRD-PARTY OBSERVED -> seitwärts/leicht rückläufig,VERIFIED
