handle,instagram_url,followers,followers_status,posts,posts_status,display_name,niche_focus,account_type,group,content_mode_AI_real_mixed,content_mode_status,reels_in_sample,median_reel_views_sample,mean_reel_views_sample,top_reel_views_seen,views_status,median_views_per_follower,max_views_per_follower,median_likes_per_view,median_comments_per_view,engagement_status,posting_freq_per_week_upper_bound,posting_freq_status,earliest_known_post,account_age_status,bio,bio_source,cta_pattern,external_links,link_in_bio_offers,has_affiliate,has_brand_deals,has_shop,has_services,has_digital_products,has_newsletter,has_other_monetization,has_brand_contact,brand_deals_seen,monetization_status,deep_profiled,top_reel_url,topics,profile_json,source
luxurydreamhub,https://www.instagram.com/luxurydreamhub/,1000000.0,"VERIFIED (embed page, rounded, 2026-09-25)",1144.0,VERIFIED (embed page),luxurydreamhub,"Faceless luxury interior/architecture showcase: glossy marble penthouses, starry-ceiling bedrooms, crystal kitchen islands, futuristic villas; in 2026 moving into AI 'transformation' reels (blueprint-to-house, island-to-mega-city, private-island resorts).",theme_page,A/F theme page,AI,ESTIMATED (profile evidence / AI-assisted cover coding),16,868500.0,1621743.75,8200000.0,"VERIFIED per reel (public topic pages); account-level = sample of top-page reels, biased upward",0.8685,8.2,0.036789052458381724,0.00020819033333605068,VERIFIED inputs (embed likes/comments + topic views); ratio computed,18.8,ESTIMATED upper bound = posts / days since earliest known post,2025-07-24,"ESTIMATED lower bound (earliest post seen, decoded from shortcode)",,Threads public profile https://www.threads.com/@luxurydreamhub shows display name 'luxurydreamhub' and no bio text; Instagram bio not seen.,"No explicit CTA. Aspirational one-to-two-sentence captions with emojis ('City lights outside, pure luxury inside. ✨🌃'; 'Kitchen goals! ✨'), occasional 'Imagine unwinding he[re]...' visualization prompt, then hashtag stacks mixing niche and reach tags (#interiordesign #luxuryhomes ... reelsviral trending / ViralReels TrendingNow FYP).",,,False,False,False,False,False,False,False,False,,VERIFIED where URL given in profile JSON; absence = not observed (not proof of absence),True,https://www.instagram.com/reel/DOHJ3rMgVna/,dream-bedrooms;dream-home;dubai-luxury-interior-design-trends;futuristic-home;futuristic-house;futuristic-houses;futuristic-interior;luxury-apartment;luxury-apartment-interior-design-ideas-2026;luxury,data/raw/accounts/profile_luxurydreamhub.json,topic-page sample + embed pages + deep profile
wayup_media,https://www.instagram.com/wayup_media/,942000.0,"VERIFIED (embed page, rounded, 2026-09-25)",3170.0,VERIFIED (embed page),WayUp Media | Content Creation | Social Media Management,"US luxury home and mansion tours (drone/FPV, exteriors, backyards, pools) shot for builders, architects and realtors by a Michigan-based real-estate media and social agency.",media_publication,C/G media,real,ESTIMATED (profile evidence / AI-assisted cover coding),12,3050000.0,5370166.666666667,22700000.0,"VERIFIED per reel (public topic pages); account-level = sample of top-page reels, biased upward",3.2412327311370883,24.12327311370882,0.0656016877785597,0.00040998355263157895,VERIFIED inputs (embed likes/comments + topic views); ratio computed,15.9,ESTIMATED upper bound = posts / days since earliest known post,2022-12-02,"ESTIMATED lower bound (earliest post seen, decoded from shortcode)","TikTok: wayupmedia | 655K We create engaging digital content for businesses, realtors, builders and more! 🎥 📸",Public Threads profile https://www.threads.com/@wayup_media (fetched 2026-09-25). The Instagram bio itself was not seen; Threads and Instagram bios can differ.,"Engagement questions ('Would you live here??', 'How much is this home is worth??', 'Does ... make $7.9M worth it?'); relationship tag-bait ('Tag her in the comments to see if you got it right', 'Tag the first person...'); credit block (Builder/Architect/Agent/Interior Design @handles); occasional vote CTA; short hashtag set (#luxuryhomes #realestate #mansion). Bio sends traffic to a Linktree with service leads, an influencer-network form and careers.",https://linktr.ee/wayupmedia,"Apply to join our influencer network. The Google Form is tit; Book a shoot today; Come work for us (careers); Want us to manage your Social Media? (Google Form); Website; Website contact: info@wayupmedia.com, +1 (248) 232-7428; Website service list: Premium Video Reels, FPV Drone Fly Thr",False,True,False,True,False,False,True,True,AZD Architects (@azdarchitects): caption credits; named as a client on wayupmedia.com; PJE Lawn Care & Landscaping (@pjelawncare): caption credit; named as a client on wayupmedia.com; Sapphire Luxury Homes: named as a client on wayupmedia.com; @lamarcohomes (builder credit; paid status unknown); @ma,VERIFIED where URL given in profile JSON; absence = not observed (not proof of absence),True,https://www.instagram.com/reel/DQ4OUB3Di0Y/,desert-modern-house-tours;dream-home;dream-house;futuristic-house;jamesedition-luxury-homes;luxury-homes;luxury-house-tour;luxury-mansion;luxury-real-estate;luxury-real-estate-mansion-exterior;mansion,data/raw/accounts/profile_wayup_media.json,topic-page sample + embed pages + deep profile
luxuryhouseview,https://www.instagram.com/luxuryhouseview/,389000.0,"VERIFIED (embed page, rounded, 2026-09-25)",961.0,VERIFIED (embed page),luxury house,"Glossy 'ultra luxury' dream-home content: marble-and-gold bedrooms and living rooms, galaxy/starry ceilings, futuristic villas, glass houses, pool villas and house exteriors, posted as uncredited aesthetic reels",theme_page,A/F theme page,mixed,ESTIMATED (profile evidence / AI-assisted cover coding),10,158000.0,1054630.0,4700000.0,"VERIFIED per reel (public topic pages); account-level = sample of top-page reels, biased upward",0.4061696658097686,12.082262210796916,0.04704602368526696,0.00026361962219812005,VERIFIED inputs (embed likes/comments + topic views); ratio computed,17.3,ESTIMATED upper bound = posts / days since earliest known post,2025-09-01,"ESTIMATED lower bound (earliest post seen, decoded from shortcode)",,"Threads public profile https://www.threads.com/@luxuryhouseview (WebFetch plus public HTML meta, 2026-09-25). The profile name is 'luxury house' and there is NO bio text; the header links only back to https://www.instagram.com/luxuryhouseview/. The Instagram bio itself could not be read: the WebSearch budget was used up and instagram.com was not fetched. The display name is the THREADS name.","No explicit CTA. Captions are a short aspirational one-liner with emojis ('Living in a masterpiece of light, space, and luxury💥💎✨.', 'Royal vibes, peaceful nights.💎✨') plus hashtag stacks. These mix niche tags (#LuxuryHome #ModernVilla #DreamHome) with generic reach tags (#fyp #explore #trending #tranding #reels #instagram) and unrelated tags (#miamistad #miamilife #miamivice #travel). The brand watermark '@Luxuryhouseview' appears on the cover of DZ5u1gbI4fE. No bio link, shop, DM or comment-keyword CTA was seen.",,,False,False,False,False,False,False,False,False,,VERIFIED where URL given in profile JSON; absence = not observed (not proof of absence),True,https://www.instagram.com/reel/DOExDYCiEYm/,dream-home;futuristic-home;futuristic-house;futuristic-houses;futuristic-interior;glass-house-photos;luxury-bedroom;luxury-homes;luxury-house;luxury-house-tour;luxury-interior;luxury-interior-design;l,data/raw/accounts/profile_luxuryhouseview.json,topic-page sample + embed pages + deep profile
sunt_mrr,https://www.instagram.com/sunt_mrr/,2000000.0,"VERIFIED (embed page, rounded, 2026-09-25)",728.0,VERIFIED (embed page),Maria Dudkina,"Midjourney-generated dream villas and fantasy architecture (Bali infinity villas, cliff houses, underwater/water villas, circle/futuristic houses), expanding into AI travel scenes; sells AI courses and prompts.",ai_creator,D/E AI creator,AI,ESTIMATED (profile evidence / AI-assisted cover coding),9,2900000.0,5369433.333333333,24500000.0,"VERIFIED per reel (public topic pages); account-level = sample of top-page reels, biased upward",1.45,12.25,0.05480916030534351,0.00035896551724137933,VERIFIED inputs (embed likes/comments + topic views); ratio computed,6.8,ESTIMATED upper bound = posts / days since earliest known post,2024-09-04,"ESTIMATED lower bound (earliest post seen, decoded from shortcode)",✉️ Collab: sunt.mrr@gmail.com,"Threads public profile https://www.threads.com/@sunt_mrr (WebFetch 2026-09-25). Linktree description: 'AI Expert & Travel Content Creator' (https://linktr.ee/sunt_mrr). TikTok bio: 'Instagram: @sunt_mrr 1,7M'. Instagram bio itself NOT seen.","Minimal descriptive title ('Dream underwater villa', 'Villa in the rock with a dream view') + dot-spacer lines + hashtag block (#midjourney #mariadudkina #luxuryinteriors #villa); newer reels add 'Design: @sunt_mrr' credit line. Monetization CTA lives off-caption: collab email in bio and Linktree course/prompt store.",https://linktr.ee/sunt_mrr; https://www.behance.net/sunt_mrr; https://tiktok.com/@sunt.mrr; https://www.threads.com/sunt_mrr; mailto:sunt.mrr@gmail.com,"Behance portfolio - 'Maria Dudkina - Ai artist, Architectura; Get Premium Prompts; Russian Course/Курс на русском; Shop All AI Courses; Watch Video Tutorials (mini-products); Work With Me (email)",False,True,False,False,True,False,False,True,,VERIFIED where URL given in profile JSON; absence = not observed (not proof of absence),True,https://www.instagram.com/reel/DNS1_gYMh2a/,ai-generated-house;ai-house-design;bali-infinity-pool-villas;bali-luxury-villas-with-private-pools;cliff-house;faroe-islands-luxury-villas;future-house;futuristic-houses;overwater-villa;tropical-house,data/raw/accounts/profile_sunt_mrr.json,topic-page sample + embed pages + deep profile
theluxuryhomeshow,https://www.instagram.com/theluxuryhomeshow/,2000000.0,"VERIFIED (embed page, rounded, 2026-09-25)",2361.0,VERIFIED (embed page),The Luxury Home Show,"UK-based luxury home-tour media brand: price-led mansion and villa tours (Florida, California, London, Europe, Bali) plus designer-home features, with Instagram driving viewers to full YouTube episodes.",media_publication,C/G media,real,ESTIMATED (profile evidence / AI-assisted cover coding),9,202000.0,945400.0,5800000.0,"VERIFIED per reel (public topic pages); account-level = sample of top-page reels, biased upward",0.101,2.9,0.03217333333333333,0.00032,VERIFIED inputs (embed likes/comments + topic views); ratio computed,22.9,ESTIMATED upper bound = posts / days since earliest known post,2024-10-02,"ESTIMATED lower bound (earliest post seen, decoded from shortcode)",UK's Leading Luxury Home Platform • 460k on YouTube — 1.8mill on Tiktok • Business enquiries — hello@luxuryhomeshow.co.uk ↓ Full tours on Youtube,"Public Threads profile https://www.threads.com/@theluxuryhomeshow (fetched 2026-09-25). The Instagram bio itself was not seen. The Threads bio looks stale: it says '460k on YouTube', but the YouTube channel showed 1.31M subscribers on the same date.","Price-first hooks ('What $48,000,000 Buys You in Fort Lauderdale', 'Inside a $70,000,000 Mansion in California.. wait for the basement 😲'); long descriptive captions; 'Watch the full tour on The Luxury Home Show YouTube channel'; listing credit ('Listed with @...'); comment prompts ('Do you think we should tour your home next? Drop a yes in the comment!'); usually no hashtags. Bio: 'Business enquiries' email plus '↓ Full tours on Youtube'.",https://youtube.com/@TheLuxuryHomeShow,"Business enquiries: hello@luxuryhomeshow.co.uk (Threads bio); Full-length home tours on YouTube (1.31M subscribers, 1,246 ; Website linked from YouTube: theluxuryhomeshow.com. The fetc; YouTube channel description: 'To apply to feature email hell",False,True,False,False,False,False,True,True,Terra Meridiana (@terrameridiana / @adam.terrameridiana): listing agency credited on reel DcTD9ufyBUd; Palladium AV: named in reel Db747p-SpGY caption (paid status unknown); Lyngdorf: named in reel Db747p-SpGY caption (paid status unknown); Arbor Real Estate: listing linked in a YouTube description ,VERIFIED where URL given in profile JSON; absence = not observed (not proof of absence),True,https://www.instagram.com/reel/DBvoA6IIZqo/,house-tour;luxury-homes;luxury-house-tour;luxury-mansion;luxury-real-estate-mansion-exterior;luxury-villa;mansion-tour;miami-mansion;scandinavian-interior-design;scandinavian-interior-design-styles,data/raw/accounts/profile_theluxuryhomeshow.json,topic-page sample + embed pages + deep profile
naturesms,https://www.instagram.com/naturesms/,10000000.0,"VERIFIED (embed page, rounded, 2026-09-25)",3511.0,VERIFIED (embed page),Naturesms,"Faceless AI 'healing' nature-and-dwelling mood reels: rain-soaked forest cabins and treehouses, cave cabins in snow, secluded mountain farmhouses, indoor pools and nature-integrated fantasy architecture, paired with wistful or philosophical one-liners.",theme_page,A/F theme page,AI,ESTIMATED (profile evidence / AI-assisted cover coding),8,386000.0,480375.0,1300000.0,"VERIFIED per reel (public topic pages); account-level = sample of top-page reels, biased upward",0.0385999999999999,0.13,0.04417064685314685,0.0003289855072463768,VERIFIED inputs (embed likes/comments + topic views); ratio computed,33.1,ESTIMATED upper bound = posts / days since earliest known post,2024-09-12,"ESTIMATED lower bound (earliest post seen, decoded from shortcode)",❝𝐘𝐨𝐮'𝐫𝐞 𝐌𝐲 𝐅𝐚𝐯𝐨𝐮𝐫𝐢𝐭𝐞 𝐍𝐨𝐭𝐢𝐟𝐢𝐜𝐚𝐭𝐢𝐨𝐧❞♥️,"Threads public profile https://www.threads.com/@naturesms: display name 'Naturesms', the bio quoted above, '5.9M followers' (Threads audience), and a profile link to Instagram only. This is the THREADS bio. The Instagram bio was not seen and may differ. The Instagram embed captures show only the username 'naturesms'.","Engagement questions and reflective quotes, few hashtags, sometimes including the branded #naturesms. Questions: 'Who would you most like to live with in such a quiet and romantic forest villa. #naturesms'; 'On a snowy day, who would you most like to live with in such a cozy cave cabin? #naturesms'; 'What kind of person would like this kind of atmosphere? #rainyday #rainforest #explore'. Quotes: 'Once I have no more worries, I will retire to the ends of the earth ...'. Threads posts follow the same quote style ('Your mindset determines your aura ...' #naturesms). No link, shop or affiliate CTA seen.",,,False,False,False,False,False,False,False,False,,VERIFIED where URL given in profile JSON; absence = not observed (not proof of absence),True,https://www.instagram.com/reel/DOcrXxqknf7/,biophilic-bedroom-design;cozy-winter-cabin;forest-house;futuristic-architecture-designs-2026;house-in-the-forest;indoor-pool;mountain-house,data/raw/accounts/profile_naturesms.json,topic-page sample + embed pages + deep profile
aiforarchitects,https://www.instagram.com/aiforarchitects/,1000000.0,"VERIFIED (embed page, rounded, 2026-09-25)",513.0,VERIFIED (embed page),AI for Architects,"AI-generated ultra-luxury mansion concepts (dark stone/black modern, classical estates, supercar-plus-villa shots) tagged to real prestige locations (Dubai, Los Angeles, Miami, Tennessee, Paris), used as a lead funnel for paid architecture/interior design commissions.",designer_studio,A designer/3D studio,AI,ESTIMATED (profile evidence / AI-assisted cover coding),7,2000000.0,6200428.571428572,34700000.0,"VERIFIED per reel (public topic pages); account-level = sample of top-page reels, biased upward",2.0,34.7,0.0628245,0.0002868131868131868,VERIFIED inputs (embed likes/comments + topic views); ratio computed,4.3,ESTIMATED upper bound = posts / days since earliest known post,2024-06-10,"ESTIMATED lower bound (earliest post seen, decoded from shortcode)",,,"Long descriptive architectural caption with location, then signature block 'Designed by @aiforarchitects' + '📩 For private commissions and inquiries: www.aiforarchitects.co | WhatsApp: +1 (656) 200-3368' (or email + website), then 5-10 hashtags (#MansionDesign #LuxuryArchitecture #DreamHome ...). Website CTA 'Contact us!' to a Tally inquiry form. Website available in English, Arabic and Russian.",https://aiforarchitects.co/,"Architectural Design - 'Crafting bespoke luxury homes that e; Blog with SEO articles on ultra-luxury homes (e.g. 'How to C; Concept Design - 'From initial floor plans to stunning 3D re; Contact page: email info@aiforarchitects.co, phone +1 (656) ; Interior Design - 'Curates lavish interiors tailored to both; Landscape Design - 'Create opulent outdoor spaces that harmo; Project Consulting - 'guidin",False,True,False,True,False,False,False,True,,VERIFIED where URL given in profile JSON; absence = not observed (not proof of absence),True,https://www.instagram.com/reel/DHBihXfMPDA/,dream-home;jamesedition-luxury-homes;los-angeles-house;luxury-mansion;luxury-real-estate-mansion-exterior;luxury-resort;miami-mansion,data/raw/accounts/profile_aiforarchitects.json,topic-page sample + embed pages + deep profile
roomify.design,https://www.instagram.com/roomify.design/,62000.0,"VERIFIED (embed page, rounded, 2026-09-25)",152.0,VERIFIED (embed page),Roomify | Luxury Rooms,"Faceless 'empty room to luxury room' makeover reels (bedrooms, kitchens, dining and living rooms, seasonal fall and French-coastal restyles) with shop-the-look links.",theme_page,A/F theme page,unknown,UNKNOWN,7,337000.0,521485.71428571426,1700000.0,"VERIFIED per reel (public topic pages); account-level = sample of top-page reels, biased upward",5.435483870967742,27.41935483870968,0.010589235127478754,0.000331353919239905,VERIFIED inputs (embed likes/comments + topic views); ratio computed,4.9,ESTIMATED upper bound = posts / days since earliest known post,2026-02-20,"ESTIMATED lower bound (earliest post seen, decoded from shortcode)",,"Instagram bio not obtained (WebSearch budget exhausted before any Instagram snippet could be read; instagram.com not fetched per rules). Display name taken from the public Threads profile https://www.threads.com/@roomify.design (fetched 2026-09-25), which showed no bio text and no external link. The Instagram embed only shows the handle as the name.","Opens with a POV or 'Day N of styling the same house' hook; 'Would you live here?' question; '🔎 Search: <keyword phrase>' in-app SEO line; '💬 Comment ""<KEYWORD>"" and I'll send you my curated collection + room links' DM funnel; closes with #beforeandafter #interiordesign hashtags.",,"Comment-to-DM funnel, not a bio link: 'Comment ""SUNROOM"" and",True,True,False,False,False,False,False,False,"Wayfair: product source for the 'curated Wayfair collection' sent by DM. Paid, affiliate or partner status not verified.",VERIFIED where URL given in profile JSON; absence = not observed (not proof of absence),True,https://www.instagram.com/reel/DVrk07ojSsm/,bedroom-design;dream-kitchen;green-minimalist-interior-design;interior-styling;luxury-dining-room;luxury-kitchen-design;virtual-staging,data/raw/accounts/profile_roomify.design.json,topic-page sample + embed pages + deep profile
harmosai,https://www.instagram.com/harmosai/,57000.0,"VERIFIED (embed page, rounded, 2026-09-25)",3672.0,VERIFIED (embed page),Harmos AI,"Luxury modern and futuristic villas (desert villa at night, storm-lit villa, black minimalist villa) with real-estate lifestyle captions (Saudi Arabia Vision 2030, Los Angeles). The account now appears tied to an AI-infrastructure company.",other,other,unknown,UNKNOWN,7,468000.0,365549.71428571426,752000.0,"VERIFIED per reel (public topic pages); account-level = sample of top-page reels, biased upward",8.210526315789474,13.192982456140353,0.0496,0.0003099824868651489,VERIFIED inputs (embed likes/comments + topic views); ratio computed,59.0,ESTIMATED upper bound = posts / days since earliest known post,2025-07-15,"ESTIMATED lower bound (earliest post seen, decoded from shortcode)",Sovereign Intelligence for: 🧬 Biotech | 💹 Economy | 🛡️ Defense Engineering the world's most advanced Multi-Layered Trust Architecture (MLTA),"Threads profile https://www.threads.com/@harmosai (WebFetch 2026-09-25). The Instagram bio itself was NOT seen because WebSearch was unavailable. Threads usernames mirror the linked Instagram username, so this is very likely the same account holder, but the Instagram bio text may differ.","Long, mood-setting English captions ('Let the storm roll in.', 'When the desert sky turns dark, the real show begins.') with CamelCase hashtags (#ModernVillas #ArchitecturalDesign #LuxuryLiving). Some captions invite viewers to 'Discover ...' a real-estate market or investment opportunity. No explicit link, DM or comment CTA was seen in the truncated captions.",harmos.ai,"Creative platform connecting verified talent with enterprise; Enterprise API Access - production-grade sovereign inference; Harmos Core - conversational AI (Mixture of Experts architec; Sovereign Infrastructure - white-label national deployments; Waitlist signup form (email, organization type, use case); n",False,False,False,True,False,False,True,False,,VERIFIED where URL given in profile JSON; absence = not observed (not proof of absence),True,https://www.instagram.com/reel/DOlpM39kbd5/,desert-modern-house-tours;futuristic-home;futuristic-house;futuristic-houses;los-angeles-house;luxury-modern-beautiful-house;modern-architecture;modern-villa;saudi-arabia-architecture;ultra-modern-lux,data/raw/accounts/profile_harmosai.json,topic-page sample + embed pages + deep profile
siyad_abdali,https://www.instagram.com/siyad_abdali/,4000000.0,"VERIFIED (embed page, rounded, 2026-09-25)",2110.0,VERIFIED (embed page),Siyad Ali,"Mass-appeal AI 'dream room' / cozy cabin / dream home mood reels (fairy-lit loft bedrooms, rainy city views, snowy cabins, forest glass houses) mixed with nature/romance mood posts under a personal traveler-horticulturist persona.",theme_page,A/F theme page,AI,ESTIMATED (profile evidence / AI-assisted cover coding),6,4550000.0,67119333.33333333,282000000.0,"VERIFIED per reel (public topic pages); account-level = sample of top-page reels, biased upward",1.1375,70.5,0.04534938055480743,0.00015517374038222885,VERIFIED inputs (embed likes/comments + topic views); ratio computed,18.3,ESTIMATED upper bound = posts / days since earliest known post,2024-07-11,"ESTIMATED lower bound (earliest post seen, decoded from shortcode)",Welcome to the World 🗺 🌎 through my eyes. Traveler 🏝 🏖 ✈️ 🚗 Horticulturist 🌺 🌱 🪴 🌶,Threads public profile https://www.threads.com/@siyad_abdali (fetched 2026-09-25 via WebFetch). This is the THREADS bio and display name; the Instagram bio itself was not seen (see notes).,"Mostly title-style mood captions without CTA ('A Dreamy Bunk Bed Room Made for Warm Nights and Quiet Moments'; 'Cozy Cabin on a Snowy Day | Reading, Music & Peaceful Alone Time 🕯📖🎶'); some top reels have no caption at all (C9SiQc8S9xq, C_Pf1dboaeJ); occasional question + share/tag prompt ('Do you like this kind of home? Share it with someone you want to live with'). No sales, link or DM CTA seen.",,,False,False,False,False,False,False,False,False,,VERIFIED where URL given in profile JSON; absence = not observed (not proof of absence),True,https://www.instagram.com/reel/C_Pf1dboaeJ/,ai-house-design;cozy-winter-cabin;dream-bedroom;dream-home;dream-room;modern-living-room,data/raw/accounts/profile_siyad_abdali.json,topic-page sample + embed pages + deep profile
