handle,url,plattform,nische_cluster,unter_nische,land_sprache,account_alter_oder_start,erstes_sichtbares_posting,start_datenqualitaet,follower_heute,follower_heute_datum,follower_heute_dq,follower_vor_30d,follower_vor_60d,follower_vor_90d,follower_vor_120d,follower_historie_quelle,follower_historie_dq,posts,posts_dq,posts_pro_woche,median_reel_views,median_dq,top_reel_url,top_reel_views,top_reel_datum,top5_reels,top_reels_dq,anzahl_reels_ueber_1m_bekannt,engagement_hinweis,ai_status,ai_beleg,ai_tools,klasse,emerging_outlier,affiliate_oder_monetarisierung_sichtbar,link_in_bio,quelle_urls,pruefdatum,notizen
@midjourney.architecture,https://www.instagram.com/midjourney.architecture/,Instagram,AI Architecture,Midjourney-Architektur-Renderings (Bilder/Carousels),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,161K–172K (zwei Snippets),"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,501,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"ER 2,2 % laut speeedy.ai-Snippet (Datum unbekannt)",VERIFIED,Handle/Name 'Midjourney Architecture',Midjourney,keine – Legacy/Kontext,nein/unbekannt,UNKNOWN,UNKNOWN,"https://www.instagram.com/midjourney.architecture/?hl=en | https://speeedy.ai/influencer/midjourney.architecture (Snippet: 172K, ER 2,2%)",2026-09-26,"Kontext-Beispiel aus früherer Studie neu geprüft: existiert, ~161–172K; kein Hinweis auf junges Wachstum. speeedy.ai-Seite am 2026-09-26 HTTP 503."
@midjourney.architect,https://www.instagram.com/midjourney.architect/,Instagram,AI Architecture,'artificial sketchbook of an architect' – MJ-Konzeptarchitektur,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,51K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,"1,608",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Bio: 'all images generated with AI by @d.j.alf'; Parametric-Architecture-Liste 08/2025,Midjourney,keine – Legacy/Kontext,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/midjourney.architect/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,Betreiber David Alf (Olson Kundig). Legacy-Architektenaccount.
@ai.arch.itecture,https://www.instagram.com/ai.arch.itecture/,Instagram,AI Architecture,"AI-Konzeptarchitektur, parametrische Formen (Gründerin Ebrar Eke)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Parametric Architecture 'Top 10 AI Design Pages to Follow on Instagram in 2025' (06.08.2025) beschreibt Account als AI-Design-Page,nicht genannt,keine – Legacy/Kontext (Follower unbekannt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/ai.arch.itecture/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,"Follower/Posts nicht öffentlich abrufbar (IG-Login-Wall, keine Snippets). "
@diffusion_architecture,https://www.instagram.com/diffusion_architecture/,Instagram,AI Architecture,Architektur × KI × Computational Design (kuratiert),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Parametric Architecture 'Top 10 AI Design Pages to Follow on Instagram in 2025' (06.08.2025) beschreibt Account als AI-Design-Page,Stable Diffusion,keine – Legacy/Kontext (Follower unbekannt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/diffusion_architecture/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,"Follower/Posts nicht öffentlich abrufbar (IG-Login-Wall, keine Snippets). "
@ai_fredyfortich,https://www.instagram.com/ai_fredyfortich/,Instagram,AI Architecture,"Diffusion-basierte Architekturkonzepte (Fredy Fortich, MVRDV)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Parametric Architecture 'Top 10 AI Design Pages to Follow on Instagram in 2025' (06.08.2025) beschreibt Account als AI-Design-Page,Diffusion-Tools,keine – Legacy/Kontext (Follower unbekannt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/ai_fredyfortich/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,"Follower/Posts nicht öffentlich abrufbar (IG-Login-Wall, keine Snippets). "
@studiotimfu,https://www.instagram.com/studiotimfu/,Instagram,AI Architecture,AI-Architekturpraxis Tim Fu,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Parametric Architecture 'Top 10 AI Design Pages to Follow on Instagram in 2025' (06.08.2025) beschreibt Account als AI-Design-Page,Midjourney,keine – Legacy/Kontext (Follower unbekannt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/studiotimfu/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,"Follower/Posts nicht öffentlich abrufbar (IG-Login-Wall, keine Snippets). Personen-/Studio-Account, nicht faceless"
@emunarq7,https://www.instagram.com/emunarq7/,Instagram,AI Architecture,Design-/Visualisierungsstudio mit KI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Parametric Architecture 'Top 10 AI Design Pages to Follow on Instagram in 2025' (06.08.2025) beschreibt Account als AI-Design-Page,Rhino 3D + AI,keine – Legacy/Kontext (Follower unbekannt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/emunarq7/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,"Follower/Posts nicht öffentlich abrufbar (IG-Login-Wall, keine Snippets). "
@architecturee.ai,https://www.instagram.com/architecturee.ai/,Instagram,AI Architecture,tägliche AI-generierte Architektur,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Parametric Architecture 'Top 10 AI Design Pages to Follow on Instagram in 2025' (06.08.2025) beschreibt Account als AI-Design-Page,nicht genannt,keine – Legacy/Kontext (Follower unbekannt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/architecturee.ai/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,"Follower/Posts nicht öffentlich abrufbar (IG-Login-Wall, keine Snippets). Theme-Page-Charakter; potenziell faceless"
@matitectura,https://www.instagram.com/matitectura/,Instagram,AI Architecture,"Wiener Designer, AI-Raum-/Zeitkonzepte",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Parametric Architecture 'Top 10 AI Design Pages to Follow on Instagram in 2025' (06.08.2025) beschreibt Account als AI-Design-Page,Midjourney,keine – Legacy/Kontext (Follower unbekannt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/matitectura/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,"Follower/Posts nicht öffentlich abrufbar (IG-Login-Wall, keine Snippets). "
@ai.metaverse.cr,https://www.instagram.com/ai.metaverse.cr/,Instagram,AI Architecture,"AI-Architekturskizzen (AIMETA Studio, Rolando Cedeno)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Parametric Architecture 'Top 10 AI Design Pages to Follow on Instagram in 2025' (06.08.2025) beschreibt Account als AI-Design-Page,"Midjourney, Veo",keine – Legacy/Kontext (Follower unbekannt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/ai.metaverse.cr/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,"Follower/Posts nicht öffentlich abrufbar (IG-Login-Wall, keine Snippets). Veo-Nennung = Video-Schwenk"
