_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
choice,41,232000.0,1873251.219512195,5400000.0,5.851777488282142,40,0.6,0.9743589743589743,1.5345429981527143,0.22474606798093952,40,0.475,0.3902439024390244,0.0508075,0.0018148335235920851,0.03767748143340777,False
status,38,246000.0,1271433.7894736843,3180000.000000003,2.8,37,0.40540540540540543,1.1373535625120033,1.371368373775667,0.06878970806456791,37,0.40540540540540543,0.3157894736842105,0.04074814814814815,0.00043107870659180703,0.008072407045009784,False
money,82,234000.0,1832111.2926829269,3360000.0000000023,3.8906392694063925,82,0.43902439024390244,1.2511170688114388,1.190830962653854,0.11201448410990861,82,0.4146341463414634,0.36585365853658536,0.03269440048559474,0.0004885218827415359,0.01154109081869582,False
none,73,369000.0,7949295.506849315,10119999.999999998,3.1166417352281224,72,0.4583333333333333,1.3874066168623265,1.1654035582652433,0.12878225809073973,72,0.375,0.3972602739726027,0.03634412955465587,0.0002713353318407771,0.006610467584450239,False
promotional,251,167000.0,1659628.8167330676,4000000.0,1.9253731343283582,251,0.3466135458167331,0.8875255623721882,1.0098929090313504,-0.004910735580821458,251,0.32669322709163345,0.3107569721115538,0.021939447125932425,0.0004586092715231788,0.02955840455840456,False
aspirational,526,253500.0,1525692.8821292776,2800000.0,2.4,525,0.38095238095238093,1.0357166501158557,1.0061115571663624,0.011592697376173876,525,0.35428571428571426,0.3365019011406844,0.03713956396544632,0.00032572298325722984,0.007454560683474328,False
fantasy,44,141500.0,4236034.386363637,4520000.000000002,2.425,44,0.4090909090909091,0.706254774537197,0.966961982137384,-0.05709405056516337,44,0.4318181818181818,0.2727272727272727,0.04727099236641221,0.000439779343463554,0.01024006683075442,False
descriptive,698,211000.0,1927271.929799427,3600000.0,2.5,693,0.38961038961038963,0.9701702442635085,0.9053472312976747,-0.013562009812424947,693,0.33044733044733043,0.32951289398280803,0.029253731343283584,0.0002983021077283373,0.00856457690990065,False
question,138,223000.0,3286044.427536232,4339999.999999998,1.7047619047619047,137,0.35766423357664234,1.0994113799869196,0.8943542035312417,-0.042986113867212315,137,0.3284671532846715,0.30434782608695654,0.0349875,0.000311284965034965,0.00893465819273835,False
curiosity,159,436000.0,2677884.220125786,5400000.0,3.392857142857143,159,0.4528301886792453,1.007462686567164,0.8593393857969852,0.06298396379771082,159,0.37735849056603776,0.3584905660377358,0.024615384615384615,0.00025664893617021275,0.009969711030112774,False
pov,47,364000.0,4651038.085106383,6359999.999999997,2.1937842778793417,47,0.3617021276595745,0.9523809523809523,0.8412771687656987,-0.014241346848008832,47,0.3404255319148936,0.3191489361702128,0.04994586979886381,0.0003332258064516129,0.005605460737406132,False
instructional,74,189000.0,1373884.1351351351,2050000.0000000014,1.874306818181818,74,0.32432432432432434,0.7643087090879344,0.7161347446254306,-0.11362813369923948,74,0.2972972972972973,0.24324324324324326,0.0218115197243346,0.00044360205368402085,0.014423840615309373,False
contrarian,56,324500.0,902098.5357142857,2600000.0,1.7482029902242668,56,0.30357142857142855,1.1676791438668643,0.6974761134153393,-0.1869752666527848,56,0.30357142857142855,0.35714285714285715,0.029139127764127762,0.00037524182076813657,0.01023395683087814,False
location,161,185000.0,2152004.1614906834,4400000.0,1.08125,161,0.2795031055900621,0.8240109140518418,0.6304316902050816,-0.046661150185537695,161,0.3167701863354037,0.2795031055900621,0.034717607973421924,0.0003945578231292517,0.01085454904282613,False
