shortcode,url,handle,posted_at_utc,is_new,topics,views,topic_index,followers,vpf,tier,hook,hook_source,kw_room,kw_style,kw_setting,caption_first_line,principle_own_words,pillar_fit,test_idea,similarity_risk,decision
DG-dfDMMxzF,https://www.instagram.com/reel/DG-dfDMMxzF/,sunt_mrr,2025-03-09T10:53:37.521000+00:00,False,cliff-house,6800000,370.5722,2000000,3.4,3_VERY_GOOD,descriptive,code,whole_home,other,cliff,Villa in the rock with a dream view .,,,,,
Db_Rbvopxsw,https://www.instagram.com/reel/Db_Rbvopxsw/,north_cascades_haven,2026-08-13T17:26:50.026000+00:00,False,cozy-cabin-in-the-snow,27900000,138.4615,,,,question,heuristic,whole_home,cozy_rustic,mountain_snow,Who's ready for this?❄️🌨️🤍 #winter #cabin #snow #river #pnw,,,,,
DIHSUx1PJ8j,https://www.instagram.com/reel/DIHSUx1PJ8j/,natural_._scenery,2025-04-06T17:40:39.747000+00:00,False,cozy-rain;rain-cozy,74100000,131.9679,,,,descriptive,code,other,cozy_rustic,rain,This video was made for anyone looking for peace in the middle of a busy or overwhelming day.,,,,,
DBWhf0koR7_,https://www.instagram.com/reel/DBWhf0koR7_/,soothenests,2024-10-20T16:02:05.474000+00:00,False,dream-bedrooms;luxury-bedroom,45100000,129.5977,2000000,22.55,5_EXTREME_OUTLIER,descriptive,heuristic,bedroom,cozy_rustic,rain,"Raindrops on My Window, Euphoria in My Soul: Luxury Bedroom Bliss #cozybedroom #cozyapartment #euphoria",,,,,
DVY1P4AArWL,https://www.instagram.com/reel/DVY1P4AArWL/,fast_buildsx,2026-03-02T16:01:02.425000+00:00,False,cliff-house,1600000,87.1935,1000000,1.6,2_GOOD,curiosity,code,whole_home,other,cliff,Inside the World's Most Peaceful Cliffside Hideout 🏔️✨ Step inside this breathtaking,,,,,
C_Pf1dboaeJ,https://www.instagram.com/reel/C_Pf1dboaeJ/,siyad_abdali,2024-08-29T05:30:05.840000+00:00,False,dream-room,282000000,80.5714,4000000,70.5,5_EXTREME_OUTLIER,none,code,other,other,none,NA,,,,,
DV_a3j9jJ64,https://www.instagram.com/reel/DV_a3j9jJ64/,foorcrafts,2026-03-17T15:40:54.612000+00:00,False,cliff-house,1300000,70.8447,110000,11.8182,4_VIRAL,curiosity,code,whole_home,other,cliff,Building a Glass House on a Cliff 😳 | Insane Construction Process Step by Step Watch how,,,,,
DPik9aHAdpr,https://www.instagram.com/reel/DPik9aHAdpr/,arunashokanphotography,2025-10-08T07:42:44.967000+00:00,False,biophilic-bedroom-design,6100000,49.3927,19000,321.0526,5_EXTREME_OUTLIER,descriptive,code,bedroom,biophilic,none,Home 🌟 11:11,,,,,
DMYHlSWuqZK,https://www.instagram.com/reel/DMYHlSWuqZK/,clarazrd,2025-07-21T16:39:27.750000+00:00,False,luxury-penthouse,72100000,48.0667,297000,242.7609,5_EXTREME_OUTLIER,promotional,code,whole_home,modern_luxury,city_skyline,#forsale Penthouse NYC | I'm a Real Estate Agent in New York.,,,,,
C0ARCNMr6wK,https://www.instagram.com/reel/C0ARCNMr6wK/,cliffhousemaine,2023-11-23T21:46:49.330000+00:00,False,cliff-house,830000,45.2316,130000,6.3846,4_VIRAL,none,code,whole_home,other,cliff,Grateful…Wishing everyone a happy Thanksgiving from Cliff House Maine!,,,,,
CxH3K5IL2w6,https://www.instagram.com/reel/CxH3K5IL2w6/,lk4id,2023-09-13T07:00:33.513000+00:00,False,futuristic-interior,13000000,44.905,2000000,6.5,4_VIRAL,descriptive,code,living_room,futuristic,none,Modern urban #penthouse living area 🥂 #housetour #walkthrough #virtualreality #render #livingroom #condo #virtualtour #l,,,,,
C87NQHRtm6B,https://www.instagram.com/reel/C87NQHRtm6B/,drcozyvibes,2024-07-02T15:20:06.780000+00:00,False,cozy-rain,155000000,40.2597,584000,265.411,5_EXTREME_OUTLIER,descriptive,code,bedroom,cozy_rustic,rain,"Rainy Day Reflections: Comfort Bed, Melodic Drops, and a Scenic Window #cozycabin #RainyDayVibes",,,,,
DQzx59pEsqO,https://www.instagram.com/reel/DQzx59pEsqO/,lisi.quietdiaries,2025-11-08T20:34:21.483000+00:00,False,quiet-luxury,22700000,40.2482,153000,148.366,5_EXTREME_OUTLIER,aspirational,heuristic,whole_home,modern_luxury,none,a quiet life feels like home #aesthetic #quietlife #slowlife,,,,,
C_5u72pxVBx,https://www.instagram.com/reel/C_5u72pxVBx/,elarch.studio,2024-09-14T15:10:08.684000+00:00,False,ultra-modern-luxury-house-design,15500000,40.0517,540000,28.7037,5_EXTREME_OUTLIER,descriptive,code,whole_home,modern_luxury,none,"Renderizado por @elarch.studio, este projeto noturno para @arquiteturash é uma verdadeira obra de arte moderna.",,,,,
DLI3AbXsnNC,https://www.instagram.com/reel/DLI3AbXsnNC/,archibible,2025-06-20T21:54:37.064000+00:00,False,midjourney-architecture,14300000,34.5828,220000,65.0,5_EXTREME_OUTLIER,fantasy,code,whole_home,futuristic,mountain_snow,Alpine Future .,,,,,
DSNLwLZCKcD,https://www.instagram.com/reel/DSNLwLZCKcD/,architect_hitesh,2025-12-13T13:52:37.259000+00:00,False,modern-villa,14900000,32.6039,262000,56.8702,5_EXTREME_OUTLIER,descriptive,code,whole_home,modern_luxury,none,Ultra Luxury Morden villa || #explore #home #luxurylifestyle,,,,,
Da_rdPUj1jN,https://www.instagram.com/reel/Da_rdPUj1jN/,sandiwara_multiverse.99,2026-07-20T00:42:50.114000+00:00,False,treehouse,85200000,32.1509,402000,211.9403,5_EXTREME_OUTLIER,descriptive,code,whole_home,tropical,rain,TreeHouse #GiantTree #TreeTopHouse #JungleLife #Rainforest,,,,,
CvNKxqDtAj1,https://www.instagram.com/reel/CvNKxqDtAj1/,homeofmerve,2023-07-27T15:25:17.408000+00:00,False,bedroom-design;cozy-bedroom-ideas,13100000,30.5361,459000,28.5403,5_EXTREME_OUTLIER,none,code,bedroom,cozy_rustic,none,liebs💓🫶🏽 #bedroom • • • • • • • • • • • • • • • #interior #inspohome #interiorhome #bedroominspiration #schlafzimmerinsp,,,,,
