batch,slug,slug_used,status,n_reels,total_reels_label,page_title
r1_00,luxury-bedroom,luxury-bedroom,ok,12,1.8M reels on Instagram,Luxury Bedroom
r1_00,luxury-master-bedroom,luxury-master-bedroom,ok,12,24K reels,Luxury Master Bedroom • 24K reels on Instagram
r1_00,dream-bedroom,dream-bedroom,ok,12,1.3M reels on Instagram,Dream Bedroom
r1_00,cozy-bedroom,cozy-bedroom,error,0,,
r1_00,bedroom-design,bedroom-design,ok,12,22M reels on Instagram,Bedroom Design
r1_00,luxury-living-room,luxury-living-room,ok,12,1.1M reels on Instagram,Luxury Living Room
r1_00,modern-living-room,modern-living-room,ok,12,1.3M reels on Instagram,Modern Living Room
r1_00,living-room-design,living-room-design,ok,12,19M reels on Instagram,Living Room Design
r1_00,luxury-kitchen,luxury-kitchen,ok,12,4.1M reels on Instagram,Luxury Kitchen
r1_00,modern-kitchen,modern-kitchen,ok,12,8.2M reels on Instagram,Modern Kitchen
r1_00,dream-kitchen,dream-kitchen,ok,12,8M reels,Dream Kitchen
r1_00,kitchen-design,kitchen-design,ok,12,102M reels on Instagram,Kitchen Design
r1_01,luxury-bathroom,luxury-bathroom,ok,12,4M reels on Instagram,Luxury Bathroom
r1_01,bathroom-design,bathroom-design,ok,12,45M reels on Instagram,Bathroom Design
r1_01,walk-in-closet,walk-in-closet,ok,12,3.2M reels on Instagram,Walk In Closet
r1_01,luxury-closet,luxury-closet,ok,12,428K reels on Instagram,Luxury Closet
r1_01,home-theater,home-theater,ok,12,5.3M reels on Instagram,Home Theater
r1_01,home-library,home-library,ok,12,2.5M reels on Instagram,Home Library
r1_01,luxury-dining-room,luxury-dining-room,ok,12,224K reels on Instagram,Luxury Dining Room
r1_01,wine-cellar,wine-cellar,error,0,,
r1_01,home-office-design,home-office-design,ok,12,1.4M reels on Instagram,Home Office Design
r1_01,kids-room-design,kids-room-design,ok,12,2.4M reels on Instagram,Kids Room Design
r1_01,rooftop-terrace,rooftop-terrace,ok,12,625K,Rooftop Terrace
r1_01,outdoor-kitchen,outdoor-kitchen,ok,12,4.4M reels on Instagram,Outdoor Kitchen
r1_02,japandi,japandi,ok,12,841K reels on Instagram,Japandi
r1_02,japandi-interior,japandi-interior,error,0,,
r1_02,organic-modern,organic-modern,ok,12,1M reels on Instagram,Organic Modern
r1_02,dark-luxury,dark-luxury-interior,ok,12,,Dark Luxury Interior
r1_02,quiet-luxury,quiet-luxury,ok,12,7M reels,Quiet Luxury
r1_02,minimalist-interior,minimalist-interior,ok,12,815K reels on Instagram,Minimalist Interior
r1_02,biophilic-design,biophilic-design,ok,12,396K reels,Biophilic Design
r1_02,scandinavian-interior,scandinavian-interior-design,ok,12,61K reels,Scandinavian Interior Design
r1_02,industrial-interior,industrial-interior,ok,12,1.1M on Instagram,Industrial Interior
r1_02,neoclassical-interior,neoclassical-interior,ok,12,29K reels,Neoclassical Interior
r1_02,modern-classic-interior,modern-classic-interior-design,ok,12,1.7K reels,Modern Classic Interior Design
r1_02,wabi-sabi-interior,wabi-sabi-interior,ok,12,104K reels on Instagram,Wabi Sabi Interior
r1_03,mediterranean-villa,mediterranean-villa,ok,12,68K reels on Instagram,Mediterranean Villa
r1_03,mediterranean-house,mediterranean-house,ok,12,85K reels on Instagram,Mediterranean House
r1_03,brutalist-architecture,brutalist-architecture,error,0,,
r1_03,tropical-villa,tropical-villa,ok,12,214K reels on Instagram,Tropical Villa • 214K reels on Instagram
r1_03,tropical-house,tropical-house,ok,12,2.8M reels on Instagram,Tropical House
r1_03,art-deco-interior,art-deco-interior-design,ok,12,11K reels on Instagram,Art Deco Interior Design
r1_03,mid-century-modern,mid-century-modern,ok,12,40M reels on Instagram,Mid Century Modern
r1_03,cyberpunk-city,cyberpunk-city,ok,12,916K reels on Instagram,Cyberpunk City
r1_03,luxury-interior,luxury-interior,ok,12,6.4M total on Instagram,Luxury Interior
r1_03,luxury-interior-design,luxury-interior-design,ok,12,4M reels on Instagram,Luxury Interior Design
r1_03,interior-design,interior-design,error,0,,Interior Design on Instagram
r1_03,interior-design-ideas,interior-design-ideas,ok,12,25M reels on Instagram,Interior Design Ideas
r1_04,luxury-homes,luxury-homes,ok,12,128M reels on Instagram,Luxury Homes
r1_04,luxury-house,luxury-house,ok,12,10M reels on Instagram,Luxury House
r1_04,dream-house,dream-house,ok,12,18M reels on Instagram,Dream House
r1_04,dream-home,dream-home,ok,12,151M reels on Instagram,Dream Home
r1_04,modern-house,modern-house,ok,12,8.6M reels on Instagram,Modern House
r1_04,modern-villa,modern-villa,ok,12,1.2M reels on Instagram,Modern Villa
r1_04,luxury-villa,luxury-villa,ok,12,9.8M reels on Instagram,Luxury Villa
r1_04,mansion,mansion,error,0,,
r1_04,luxury-mansion,luxury-mansion,ok,12,,Luxury Mansion
r1_04,penthouse,penthouse,error,0,,
r1_04,luxury-penthouse,luxury-penthouse,ok,12,373K reels on Instagram,Luxury Penthouse
r1_04,house-tour,house-tour,ok,12,,House Tour
r1_05,cliff-house,cliff-house,ok,12,423K reels on Instagram,Cliff House
r1_05,glass-house,glass-house,ok,12,3.6M reels on Instagram,Glass House
r1_05,treehouse,treehouse,ok,12,9.8M reels on Instagram,Treehouse
r1_05,cabin,cabin,ok,12,23M reels on Instagram,Cabin
r1_05,luxury-cabin,luxury-cabin,ok,12,343K reels on Instagram,Luxury Cabin
r1_05,a-frame-cabin,a-frame-cabin,ok,12,1.4M reels on Instagram,A Frame Cabin
r1_05,mountain-house,mountain-house,ok,12,1.2M reels on Instagram,Mountain House
r1_05,beach-house,beach-house,ok,12,,Beach House
r1_05,lake-house,lake-house,ok,12,6.2M reels on Instagram,Lake House
r1_05,desert-house,desert-house,ok,12,123K reels on Instagram,Desert House
r1_05,underground-house,underground-house,ok,12,687K reels on Instagram,Underground House
r1_05,container-house,container-house,ok,12,2.6M reels on Instagram,Container House
r1_06,futuristic-house,futuristic-house,ok,12,17K reels,Futuristic House
r1_06,future-house,future-house,ok,12,6.9M reels on Instagram,Future House
r1_06,futuristic-architecture,futuristic-architecture,ok,12,269K reels on Instagram,Futuristic Architecture
r1_06,futuristic-interior,futuristic-interior,ok,12,5.2K reels,Futuristic Interior
