topic,position,handle,shortcode,views_text,views,caption,url,source,batch
luxury-bedroom,1,siriorsinterior,DKMeZCuvoTU,508K,508000,"Modern Classic Luxury Bedroom ❤️✨ Kalau punya kamar tidur kayak gini, terasa nyaman ya? 🤭🌻",https://www.instagram.com/reel/DKMeZCuvoTU/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-bedroom,2,siriorsinterior,DE7Rnh-vZQf,3.7M,3700000,"Modern Luxury Bedroom ❤️✨ Kalau punya kamar tidur kayak gini, terasa nyaman ya? 🤭🌻",https://www.instagram.com/reel/DE7Rnh-vZQf/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-bedroom,3,soothenests,DBWhf0koR7_,45.1M,45100000,"Raindrops on My Window, Euphoria in My Soul: Luxury Bedroom Bliss #cozybedroom #cozyap",https://www.instagram.com/reel/DBWhf0koR7_/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-bedroom,4,mipropertiespk,DTQd2BGCO7a,"9,527",9527,Bedrooms luxury designs #house #property #realestate #interiordesign #modernhomes #luxury #exp,https://www.instagram.com/reel/DTQd2BGCO7a/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-bedroom,5,luxurydreamhub,DUsw1h-Emra,737K,737000,A world of elegance and starlight. ✨🛏️ Experience the pinnacle of luxury in this dream-like s,https://www.instagram.com/reel/DUsw1h-Emra/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-bedroom,6,vishnu_xo,DWJ1aOIiing,188K,188000,"Not a bedroom… this is a whole universe 🌌✨ Sleep under stars, wake up in luxury. #LuxuryLiving #Be",https://www.instagram.com/reel/DWJ1aOIiing/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-bedroom,7,theraj_interior,DWDvXdsE2iy,56.7K,56700,Luxury Modern Bedroom — Where Comfort Meets Elegance ✨ #LuxuryBedroom #ModernInterior #BedroomDesign,https://www.instagram.com/reel/DWDvXdsE2iy/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-bedroom,8,alaligroup0786,C2UKHhlodMF,1.4M,1400000,"Full Furnished Luxurious Bedroom, #reels #reelsinstagram #instagram #viral #viralvideos #videos #be",https://www.instagram.com/reel/C2UKHhlodMF/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-bedroom,9,dubailuxuryvibes,CW3ODKSq4ZK,35.8K,35800,Stunning bedroom design with walking wardrobe! What do you rate this? Follow @luxuriousworldvibes,https://www.instagram.com/reel/CW3ODKSq4ZK/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-bedroom,10,luxuryhouseview,DTa6Fw6iCrI,38.4K,38400,"Royal vibes, peaceful nights.💎✨ : #LuxuryHome #LuxuryBedroom #RoyalBedroom #DreamHome #interiorg",https://www.instagram.com/reel/DTa6Fw6iCrI/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-bedroom,11,luxury_lifestylers,DSjPwbDkxfV,"4,527",4527,Luxury Master Bedroom ✨. • • • Tag 🏷️ us in your Travel 🧳 diaries to get Featured in our Page,https://www.instagram.com/reel/DSjPwbDkxfV/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-bedroom,12,luxurydreamhub,DUiv0Xige1Z,4M,4000000,Sweet lavender dreams and ethereal glows. ✨💜 Transforming the ordinary into a sanctuary of pure,https://www.instagram.com/reel/DUiv0Xige1Z/,https://www.instagram.com/popular/luxury-bedroom/,r1_00
luxury-master-bedroom,1,gmjinterior,DNfsfoOPlFk,383K,383000,Where modern elegance meets everyday comfort ✨ This master bedroom is designed with a seamles,https://www.instagram.com/reel/DNfsfoOPlFk/,https://www.instagram.com/popular/luxury-master-bedroom/,r1_00
