shortcode,handle,meta_status,date,likes,comments,views_page,caption_len,caption_hashtags,caption_has_question,caption_emojis,caption,audio_name,location_tag,paid_partnership,code_status,source_file,length_sec,n_scenes,room_primary,building_type,landscape,location_claimed,style_primary,style_secondary,palette_temp,brightness,lighting,camera_motion,camera_speed,format,first_frame,onscreen_text,text_hook_category,audio_type,music_genre,audio_mood,voiceover,people_present,realism,production,ai_evidence,shoppability,notable,rooms_all,dominant_colors,materials,ambience_fx,first_2s_hooks
DBKFpVDoZzM,paulmarkkitchens,ok,2024-10-15,3100000,10500,,145,7,True,0,Who would love one of these in their garden? #bbq #outdoorcooking #kitchen #outdoorliving #home #led #kitchen @paulmarkkitchens @blackbullgrilluk,,,no,ok,coded_pilot_000.json,21,1,terrace_outdoor,house,none,,modern_luxury,rustic_cozy,warm,medium,mixed,pan,slow,house_tour,A man in a black vest and jeans stands in front of a large wooden wall on a green lawn.,,none,music_only,pop_trending,upbeat and rhythmic,False,True,real_existing,real_footage,none,medium,The large wooden wall flips up to reveal a fully equipped outdoor kitchen and bar.,terrace_outdoor;garden_landscape,brown;black;grey;green,wood;metal;stone;plants,none,person_present;door_opening;unusual_architecture;motion_immediate
C9SiQc8S9xq,siyad_abdali,ok,2024-07-11,6700000,27900,,0,0,False,0,,,,no,ok,coded_pilot_000.json,7,1,living_room,mansion,snow,,modern_luxury,futuristic,cool,bright,night_artificial,static,slow,single_scene_ambience,"A sprawling white luxury living room features a massive curved sofa, a crystal chandelier, and a floor-to-ceiling window showing falling snow.",,none,music_only,ambient,ethereal and serene,False,False,fantasy_impossible,ai_generated,"Hyper-perfect lighting, surreal ceiling details, and the physics of the falling snow suggest AI generation.",medium,"The contrast between the warm, plush white interior and the cold, magical snowstorm outside is visually captivating.",living_room,white;purple;blue;silver,fabric;glass;marble;metal,snow;stars,view_reveal;sound_hook
DZb4Qkbhr9V,interiorbyuma22,ok,2026-06-10,2800000,3800,,288,5,False,1,Interior by Uma ✨ #InteriorDesign #InteriorByUma #HomeDecor #InteriorStyling #ModernInterior LuxuryInteriors HomeInspo InteriorInspo MinimalHome DreamHome ElegantInteriors CozyHome DecorIdeas ModernHome AestheticHome LivingRoomDecor BedroomDecor HomeStyling DesignInspiration LuxuryLiving,,,no,ok,coded_pilot_000.json,23,9,bedroom,apartment,space_sky,,futuristic,dark_luxury,cool,dark,night_artificial,mixed,medium,before_after,"A woman in a tan shirt and black pants stands in a concrete room under construction, gesturing with her hands.","Client: Biwi ki demand hai bedroom sabse unique aur luxury chahiye
INTERIORBYUMA",pov,music_only,other,energetic and rhythmic,False,True,stylized_dreamy,mixed,The final bedroom reveal transitions from real construction footage into a high-end 3D architectural render with digital lighting effects.,low,The dramatic transition from a raw construction site to a futuristic bedroom featuring a dynamic fiber-optic star ceiling.,bedroom,black;blue;white;teal,plaster;fabric;glass,stars,text_hook;person_present;before_after
DBWhf0koR7_,soothenests,ok,2024-10-20,2100000,6500,,103,3,False,0,"Raindrops on My Window, Euphoria in My Soul: Luxury Bedroom Bliss #cozybedroom #cozyapartment #euphoria",,,no,ok,coded_pilot_000.json,7,1,living_room,cabin_chalet,forest,,dark_luxury,biophilic,warm,dark,night_artificial,static,slow,single_scene_ambience,"A dark, luxurious living room with floor-to-ceiling windows overlooking a rainy forest, featuring a fireplace and a large sofa.",,none,music_plus_ambient,ambient,cozy and relaxing,False,False,stylized_dreamy,ai_generated,"The hyper-perfect lighting, the specific texture of the rain on the glass, and the slightly impossible architectural scale suggest AI generation.",low,"The immersive atmosphere created by the contrast between the warm, cozy interior and the dark, rainy forest outside.",living_room,black;brown;green;grey,wood;glass;fabric;plants;fire;metal,rain;fireplace,view_reveal;unusual_architecture;sound_hook
DGQYtSbOz6S,longingtocomehome,ok,2025-02-19,2300000,9900,,860,23,False,1,DIY Dreamy Home Library 📚  The most common question we get about our library is how we built the shelves! The construction is pretty simple using 1x10 pine lumber. We built a base with 2x4's to raise the shelf off the ground. We then built each shelf separately using pocket hole screws and secured them to the wall studs with a cleat. We finished it off with solid 1x12 pine boards on the top and bottom for the fascia and dentil crown molding!  . . . . #homeoffice #homelibrary #homedesign #interiordesign #interiordecor #homerenovation #homeremodel #diyhome #diyhomeimprovement #studiomcgeethreshold #studiomcgee #amberinteriors #homeinspo #officedesign #homedecor #archdigest #instahome #instadesign #instagood #homedecoration #homestaging #booklover #books  Home | interior design | DIY | library | vintage | remodel | office | home decor | thrift | Books,,,no,ok,coded_pilot_000.json,13,10,office,house,none,,neoclassical,dark_luxury,warm,medium,golden_hour,mixed,medium,before_after,An empty room with brown walls and blue painter's tape marking out shelf locations.,Wife: “I wish I had a home library” Husband: “Say no more”,pov,music_only,hiphop,energetic and rhythmic,False,False,real_existing,real_footage,none,high,A highly satisfying DIY transformation of a plain room into a sophisticated home library with a rolling ladder and golden hour lighting.,office,brown;white;gold;black,wood;glass;fabric;metal,none,text_hook;before_after
DJo4QLktHJz,cocinasintegralesjv,ok,2025-05-14,547000,1000,,102,6,False,0,#carpinteriaarquitectonica #walkingcloset #carpinteria #closets #closetbucaramanga #diseñodeinteriores,,,no,ok,coded_pilot_000.json,16,2,closet,apartment,none,,modern_luxury,minimalist,warm,bright,night_artificial,pov_walk,medium,house_tour,A man in a white shirt and black pants stands in a modern room next to a large floor-to-ceiling mirror.,,none,music_only,pop_trending,energetic and sophisticated,False,True,real_existing,real_footage,none,medium,"The seamless reveal of a massive, illuminated walk-in closet hidden behind a sliding mirror door.",bedroom;closet,white;brown;black;beige,wood;glass;metal;fabric;plaster,none,person_present;motion_immediate
DQzx59pEsqO,lisi.quietdiaries,ok,2025-11-08,2000000,2600,,60,3,False,0,a quiet life feels like home #aesthetic #quietlife #slowlife,,,no,ok,coded_pilot_000.json,7,5,living_room,apartment,city_skyline,,warm_luxury,minimalist,warm,dark,night_artificial,static,slow,multi_scene_montage,"A woman sits in a rocking chair in a dimly lit living room, looking out a large window at a night city view.","a quiet life, five the power of stillness",aspirational,ambient_nature_only,none,peaceful and serene,False,True,aspirational_realistic,real_footage,none,medium,"The cozy, warm lighting combined with the peaceful night atmosphere creates a strong sense of tranquility.",living_room,orange;beige;black;white,wood;fabric;plants;glass,city_lights;stars,text_hook;person_present
CvNKxqDtAj1,homeofmerve,ok,2023-07-27,660500,700,,206,12,False,3,liebs💓🫶🏽 #bedroom • • • • • • • • • • • • • • #interior #inspohome #interiorhome #bedroominspiration #schlafzimmerinspiration #schlafzimmer #einrichtungsideen #schlafzimmerideen #home #homedecor #yatakodası,,,no,"error:RATE LIMIT EXCEEDED - You've used 15/15 calls for watch_instagram_video_and_ask in the last 24 hour(s) (PRO plan); retried once, same error",coded_pilot_000.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS8X3AKk_vU,ai.design.ideas,ok,2025-12-31,68600,175,,790,5,False,0,"MODERN LOFT Design (Before → After) Originally, this loft presented itself as an unfinished shell, where construction elements and exposed structure dominated the space. While the architectural bones were strong, the interior lacked warmth, rhythm, and a sense of intentional living. The transformation refines the raw volume by introducing natural materials, warm-toned lighting, and carefully curated furnishings. Wood surfaces, soft fabrics, and controlled contrasts bring balance to the industrial framework, allowing the space to feel both open and inviting. The final result is a modern loft that feels calm and cohesive—where structure and comfort merge to create a timeless, lived-in atmosphere. #modernloft #interiortransformation #designprocess #loftliving #architecturalinteriors",,,no,"error:RATE LIMIT EXCEEDED - You've used 15/15 calls for watch_instagram_video_and_ask in the last 24 hour(s) (PRO plan); retried once, same error",coded_pilot_000.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUbXaywiEol,ell.glamhome,ok,2026-02-06,450200,1700,,179,5,False,5,When 🦋 meet 🌸 #bedroom #bedroomideas #bedroomdesign There is a tiny line between dreams and reallity 🎀 Comment which part of this Room is your favorite 🥰 #interiordesign #dreams 🎀,,,no,"error:RATE LIMIT EXCEEDED - You've used 15/15 calls for watch_instagram_video_and_ask in the last 24 hour(s) (PRO plan); retried once, same error",coded_pilot_000.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
