nische,brand_haendler,url_programm,netzwerk,zielmarkt,provision,provision_datenqualitaet,cookie_dauer,cookie_datenqualitaet,aov_bekannt,social_media_erlaubt,instagram_erlaubt,deep_links,produktfeed_api,internationale_lieferung,besonderheiten,quelle_url,pruefdatum
Outdoor Living/BBQ,Ooni (US),https://ui.awin.com/merchant-profile/77074,Awin,USA,"ab 10% (Basis, ""starting at 10%"")",VERIFIED,30 Tage,VERIFIED,"UNKNOWN (Konversionsrate 2,5% lt. Brand; Stichprobe 26.09.2026: Median Sortiment 90 USD, Bundles 730–1.837 USD)",Ja – Content Creator/Influencer ausdrücklich Zielgruppe,"Ja (Social Content ausdrücklich erwähnt, keine Plattform-Einschränkung genannt)",UNKNOWN,UNKNOWN,Eigene Regionalshops (US/UK/EU/AU),Content-only: keine Gutschein-/Rabatt-/Incentive-Seiten; PPC strikt verboten; inaktive Affiliates nach 3 Monaten entfernt; monatl. Content-Wettbewerb mit Commission-Boost,https://ui.awin.com/merchant-profile/77074,2026-09-26
Outdoor Living/BBQ,Ooni (UK),https://ui.awin.com/merchant-profile/77076,Awin,UK,ab 10% (Basis),VERIFIED,30 Tage,VERIFIED,"UNKNOWN (Konversionsrate 2,5% genannt)",Ja – Content Creator/Influencer ausdrücklich Zielgruppe,Ja (keine Einschränkung genannt),UNKNOWN,UNKNOWN,UK-Shop; weitere Regionalshops,"Wie US: content-only, kein PPC, keine Gutschein-Seiten",https://ui.awin.com/merchant-profile/77076,2026-09-26
Outdoor Living/BBQ,Ooni (EU inkl. DE),https://ui.awin.com/merchant-profile/77082,Awin,DE/EU,"ab 10% (Basis, ""uncapped"")",VERIFIED,30 Tage,VERIFIED,"UNKNOWN (Konversionsrate 2,5% bzw. >2,5% lt. 2023er Zahlen)",Ja – Content Creator/Influencer ausdrücklich; Content-Wettbewerb akzeptiert Social-Posts/Videos in allen Sprachen,Ja (Social Content ausdrücklich zugelassen),UNKNOWN,UNKNOWN,EU-Shop eu.ooni.com,Content-only: keine Rabatt-/Gutschein-/Incentive-Seiten; PPC verboten; Awin MasterTag; monatl. Affiliate-of-the-Month,https://ui.awin.com/merchant-profile/77082 ; https://eu.ooni.com/pages/become-an-affiliate,2026-09-26
Outdoor Living/BBQ,Gozney (US),https://ui.awin.com/merchant-profile/16803,Awin,USA,bis 5%,VERIFIED,30 Tage,VERIFIED,>600 USD (vom Brand genannt),"Ja – ""engaged social following"" ausdrücklich willkommen",Ja (Social Following explizit genannt),UNKNOWN,UNKNOWN,Gozney in >14 Ländern,"Provision nur auf direkt bei gozney.com kaufbare Produkte; selektive Aufnahme; Stichprobe 26.09.2026: Arc Lite 400 USD, Dome Gen 2 Essentials-Bundle 2.890 USD",https://ui.awin.com/merchant-profile/16803,2026-09-26
Outdoor Living/BBQ,Gozney (UK),https://ui.awin.com/merchant-profile/16804,Awin,UK,bis 5%,VERIFIED,30 Tage,VERIFIED,>450 GBP (vom Brand genannt),"Ja – ""engaged social following"" ausdrücklich willkommen",Ja,UNKNOWN,UNKNOWN,UK + EU/AU-Shops,Wie US; hoher AOV durch Dome/Arc-Öfen,https://ui.awin.com/merchant-profile/16804,2026-09-26
Outdoor Living/BBQ,SANTOS Grills (DE),https://ui.awin.com/merchant-profile/32287,Awin,DE,"10% auf SANTOS-Eigenmarke, 7% auf alle anderen Marken (Weber, Napoleon, Traeger, Broil King …)",VERIFIED,30 Tage,VERIFIED,>392 EUR netto (vom Händler genannt),UNKNOWN (keine Einschränkung genannt; Santos selbst stark auf YouTube/IG/TikTok),UNKNOWN,UNKNOWN,UNKNOWN,DE (Versand; Spedition für Großgeräte),Outdoorküchen im Sortiment → sehr hoher AOV möglich; Premium-Provisionen/Boni für starke Partner; niedrige Storno-/Retourenquote lt. Händler,https://ui.awin.com/merchant-profile/32287,2026-09-26
Outdoor Living/BBQ,Traeger Grills (US),https://app.impact.com/campaign-promo-signup/Traeger-Grills.brand,Impact (früher AvantLink),USA,"UNKNOWN auf Primärquelle (""industry-leading commissions""); Drittquelle: 6%",THIRD-PARTY ESTIMATE,30 Tage,VERIFIED,UNKNOWN,"UNKNOWN (Programm richtet sich an Publisher, Blogger, Media Networks ""with large audiences"")",UNKNOWN,UNKNOWN,UNKNOWN (Creative Library),US-Shop,Frühere AvantLink-Konditionen (5%/60 Tage lt. Drittquellen) veraltet,https://app.impact.com/campaign-promo-signup/Traeger-Grills.brand ; https://getlasso.co/affiliate/traeger-grills/,2026-09-26
Outdoor Living/BBQ,"Weber (US, weber.com)",https://app.impact.com/advertiser-advertiser-info/Weber-Inc.brand,Impact (Agentur DMi Partners),USA,2% Online Sale,VERIFIED,30 Tage,VERIFIED,UNKNOWN,"Ja – ""media outlets, publishers, bloggers, and influencers""",Ja (Influencer ausdrücklich genannt),UNKNOWN,UNKNOWN,US,"Niedrige Rate; Weber UK/DE (weststyle) Awin-Programme inaktiv (Profil 18897/14763 ""not active"")",https://app.impact.com/advertiser-campaign-info/Weber-Inc.brand,2026-09-26
Outdoor Living/BBQ,"BBQGuys (US, Outdoor Kitchens)",https://app.impact.com/advertiser-advertiser-info/BBQGuys.brand,Impact,USA,6% Online Sale; 1% Call Conversion (telefonische Bestellung); separate Creator-Kampagne; Kampagne für Blaze Outdoor Kitchens,VERIFIED,30 Tage,VERIFIED,UNKNOWN,Ja – separate Creator-Kampagne (Creator Post),Ja (Creator-Kampagne),"Ja (Textlinks, Banner lt. BBQGuys)",Ja – Produkt-Datenfeeds lt. BBQGuys-Affiliate-Seite,US,Rate variiert nach Site-Typ; Auszahlung ab 50 USD; Call-Tracking für telefonische Großbestellungen,https://app.impact.com/advertiser-campaign-info/BBQGuys.brand ; https://www.bbqguys.com/corporate/about/affiliates,2026-09-26
Outdoor Living/BBQ,Solo Stove,https://app.impact.com/advertiser-advertiser-info/Solo-Stove.brand,Impact,USA + EU,"5% Online Sale (US), 5% EU Online Sale, 5% Card Linked Offers; neue Kampagne 10% (seit 07/2026)",VERIFIED,30 Tage,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,US + EU-Shop,"Feuerschalen/Pizzaöfen; Account gehört zu Solo Brands (weitere Kampagnen: Oru Kayak, ISLE)",https://app.impact.com/advertiser-advertiser-info/Solo-Stove.brand,2026-09-26
