nische,markt,instagram_werbereichweite,e_commerce_markt,kaufkraft_1_5,amazon_und_provision,publikums_geo,cpm_kaufkraft_proxy,konkurrenz_1_5_(5=wenig),grosse_theme_pages_beleg,professionelle_ai_pages,affiliate_programme,typischer_aov,conversion_hinweis,versand_verfuegbarkeit,erreichbare_views_monat12_base_strong,gesamtbewertung_1_5,begruendung,datenqualitaet
Interior / Home Decor Finds,DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",4,keine faceless DE-Home-Finds-Page >100k gefunden; solebich/inspowelt__ (Personen/Community) – I,keine belegt,"Amazon.de 5 %, Connox 8 %/60 T, Nordic Nest ≥8 %; home24/Maisons du Monde/IKEA ohne Programm",25–150 €,"Amazon.de-CVR 5,94 % (Geniuslink 2022)",gut (DE+AT),2 Mio. / 7 Mio.,4,"Content-Lücke 19,5× + 5 % Provision","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Interior / Home Decor Finds,US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",1,"≥12 EN Home-Theme-Pages >100k (trendyhomefinds1 1,3 Mio., divaa.finds 774k) – I",wenige; AI-Interior ohne Links,"Amazon 3 %, AllModern 8 %/45 T, WSI 1 %/1 Tag",30–200 $,"Amazon.com 11,1 %",gut,5 Mio. / 20 Mio.,3,"größter Markt, stärkste Konkurrenz","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Interior / Home Decor Finds,UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",2,teilt EN-Pool,–,"Amazon.co.uk 5 %, John Lewis/Dunelm (Raten nicht öffentlich)",25–150 £,UNKNOWN,gut,Teil des EN-Pools,3,"5 % wie DE, aber EN-Konkurrenz","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Interior / Home Decor Finds,International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",1,wie US,–,Geo-Routing nötig,Mix,verwässert (Indien),mittel,5 Mio. / 20 Mio.,2,Streuverlust,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Küche / Küchengadgets / Kitchen & Coffee Setups,DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",4,keine DE-Küchen-Theme-Page gefunden – I; DE-Tags nicht messbar – F,keine,"Amazon.de Küche 5 %, Zwilling 6,4–8 %, KitchenAid 7 %, De'Longhi 7 %, SharkNinja 5 %",35–300 €,"Amazon.de 5,94 %; Küchengeräte IRP 2,98 % (UK)",gut,2 Mio. / 7 Mio.,4,hohe Intention + 5 % + Lücke (ungesichert),"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Küche / Küchengadgets / Kitchen & Coffee Setups,US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",1,"Justice Buys 616k IG / 2,1 Mio. YT – I","US Shop (AI-Produktvideos, 642 Mio. YT-Views) – H","Amazon Kitchen 4,5 %, Breville bis 8 %, KitchenAid 5 %",35–700 $,"Amazon.com 11,1 %",gut,5 Mio. / 20 Mio.,4,höchster Reichweiten-Deckel; Konkurrenz hoch,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Küche / Küchengadgets / Kitchen & Coffee Setups,UK,"35,5 Mio. – VERIFIED","≈132,8 Mrd. £ (≈175 Mrd. USD), Onlineanteil 27,5 % – VERIFIED ONS",3,Amazon ≈25 % (schwache Drittquelle); Home/Kitchen/DIY 5 %,teilt EN-Content-Pool mit US; UK-Anteil EN-Publikum ≈14 %,"Meta-CPM 17,4",2,teilt EN-Pool,–,"Amazon.co.uk 5 %, Sage 8 %, Lakeland 2,5 %/15 T",40–300 £,UNKNOWN,gut,Teil EN-Pool,3,Sage 8 % stark,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Küche / Küchengadgets / Kitchen & Coffee Setups,International-EN,"≈259 Mio. EN-Kern (+481 Mio. Indien, kaum monetarisierbar)",Summe EN-Kern,3,"Mix: US 3–4,5 %, UK/CA/AU über OneLink/Geniuslink; Indien nicht routbar",≈24 % Indien im EN-Finds-Beispiel unmonetarisierbar,"Mix; Indien 1,35 USD",1,wie US,–,Mix,Mix,verwässert,mittel,5 Mio. / 20 Mio.,3,Geo-Routing Pflicht,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Kaffee / Espresso-Setups,DE/DACH,"38,5 Mio. (DE 31,3 · AT 3,35 · CH 3,8) – VERIFIED DataReportal 2026","≈137 Mrd. USD (DE 92,3 Mrd. € netto) – VERIFIED HDE",4,"Amazon.de 63,3 % des DE-Onlinehandels (VERIFIED HDE/IFH); Wohnen/Möbel/Küche/Baumarkt 5 %, Elektronik/Garten/Haustier 3 %","≈80 % DACH-Publikum bei deutschsprachigen Kanälen (NexLev, THIRD-PARTY)","Meta-CPM ≈14,8 € (THIRD-PARTY)",3,"keine Kaffee-Affiliate-Page belegt; DE-Kaffee-Community pro Nutzer ähnlich aktiv (1,6×) – F",keine,"De'Longhi DE 7 %, Coffee Circle 60 T, Coffee Friend 10 %, Kaffee24 5–6 %",70–700 €,UNKNOWN (Elektronik-Proxy),gut,1 Mio. / 4 Mio.,3,"gute Programme, keine Lücke","Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
Kaffee / Espresso-Setups,US,182 Mio. – VERIFIED,"1.233,7 Mrd. USD – VERIFIED US Census",5,"Amazon ≈40,5 % (THIRD-PARTY); Home/Furniture/Garden/Pets 3 %, Kitchen 4,5 %, Electronics 4 %",EN-Content: nur ≈42 % US-Publikum (NexLev-Beispiel),"Meta-CPM 23,4 USD",2,baristadaily u. a. ohne Kauflinks – I,keine,"Breville bis 8 %, De'Longhi US bis 15 % (CLAIMED)",70–900 $,UNKNOWN,gut,3 Mio. / 10 Mio.,4,hohe Provision pro Sale,"Marktdaten VERIFIED/THIRD-PARTY (quellen/F); Konkurrenz aus quellen/F, I, J; Bewertungen & Reichweite: MODEL ASSUMPTION"
