channel,video_id,title,duration_sec,published,views,likes,comments,ch_index,bucket,visual_change,change_bucket
Isla | Interior Designer,cFq4zgr5fQk,Used RenoMuse app and turned my room into Blanket Fort 😭,16,2026-07-19,5579671,33832.0,,9.042047188332802,13-20s,14.63,low (static/slow)
Isla | Interior Designer,9KYhovFAwzs,my landlord said NO to changes... so I showed him AI 😈,14,2026-03-11,2994257,43432.0,,4.852295608109477,13-20s,26.07,mid
Isla | Interior Designer,EOS4L0nfIGA,RenoMuse app is insane... turned my room into a ball pit and hot tub 😂,16,2026-05-28,2612834,22030.0,,4.234186625569921,13-20s,6.95,low (static/slow)
Isla | Interior Designer,1qRFnQC3d1A,I used RenoMuse app and got 6 designs,14,2026-05-17,2200226,28341.0,,3.5655412867527008,13-20s,4.48,low (static/slow)
Isla | Interior Designer,dB4n8No0KvI,I showed my bf what AI could do to our living room 😂,14,2026-05-22,2020854,15899.0,,3.2748628420441093,13-20s,3.58,low (static/slow)
Isla | Interior Designer,vpEnVCaMH-w,RenoMuse app made my boring room look like a luxury hotel,12,2026-06-04,1784305,9347.0,,2.891527118422961,9-12s,8.83,low (static/slow)
Isla | Interior Designer,jEYQWhWT7s8,RenoMuse app turned my room into a Bowling Alley and Cats Lounge 😭,18,2026-07-01,1714364,18532.0,,2.778185342106905,13-20s,8.03,low (static/slow)
Isla | Interior Designer,R7W6Y6yRi3g,RenoMuse app is insane for room design,14,2026-05-18,1148908,13566.0,,1.8618446053634818,13-20s,13.1,low (static/slow)
Isla | Interior Designer,GlV134_vI4I,I used RenoMuse app and showed my bf what AI could do 😂,14,2026-05-21,1063263,13067.0,,1.723053961355123,13-20s,7.38,low (static/slow)
Isla | Interior Designer,1choP6SAYUc,I used RenoMuse app and now my room has a pool AND a barn 😂,14,2026-05-27,1032679,10980.0,,1.6734915460786721,13-20s,12.15,low (static/slow)
Isla | Interior Designer,ZCD8-7vycD8,My House Has an Escalator and a Cat Paradise,14,2026-09-24,33447,420.0,,0.05420200443864293,13-20s,8.65,low (static/slow)
Isla | Interior Designer,zJO40lC10KQ,ATM Machine and a Homeschool Classroom,14,2026-09-23,23185,317.0,,0.03757208338296219,13-20s,6.24,low (static/slow)
Isla | Interior Designer,joxZ70xWNkg,Fortune Teller Booth and a Pool — Same House,14,2026-09-22,38214,297.0,,0.0619270905497743,13-20s,32.37,mid
Isla | Interior Designer,8lvqVFT_l9k,There's an Elevator and an Indoor Beach in My House,14,2026-09-21,142917,1052.0,,0.23160187366154011,13-20s,17.35,low (static/slow)
Isla | Interior Designer,gahJzfe8Rx8,McDonald's Front Desk — In My House Now,16,2026-09-20,39224,662.0,,0.0635638300027306,13-20s,18.08,low (static/slow)
Isla | Interior Designer,z54373sG9io,"The Pillar Collection: Brick, LED, and Wood",14,2026-09-19,56460,446.0,,0.091495355954369,13-20s,13.36,low (static/slow)
Isla | Interior Designer,34FeBt0L3n8,"Bowling Lane and Mini Golf, Inside My House",14,2026-09-18,34531,334.0,,0.055958663415875236,13-20s,10.7,low (static/slow)
