kennzahl,markt,wert,einheit,jahr,quelle_titel,quelle_url,datenqualitaet,notiz
bevoelkerung,DE,83.9,Mio.,2025,DataReportal Digital 2026 Germany (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-germany,VERIFIED,Datenstand Okt. 2025
internetnutzer,DE,78.5,Mio.,2025,DataReportal Digital 2026 Germany (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-germany,VERIFIED,Datenstand Okt. 2025
social_media_identitaeten,DE,64.7,Mio.,2025,DataReportal Digital 2026 Germany (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-germany,VERIFIED,Datenstand Okt. 2025
youtube_ad_reach,DE,64.7,Mio.,2025,DataReportal Digital 2026 Germany (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-germany,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
instagram_ad_reach,DE,31.3,Mio.,2025,DataReportal Digital 2026 Germany (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-germany,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
tiktok_ad_reach_18plus,DE,23.7,Mio.,2025,DataReportal Digital 2026 Germany (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-germany,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
facebook_ad_reach,DE,22.8,Mio.,2025,DataReportal Digital 2026 Germany (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-germany,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
snapchat_ad_reach,DE,23.0,Mio.,2025,DataReportal Digital 2026 Germany (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-germany,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
pinterest_ad_reach,DE,22.7,Mio.,2025,DataReportal Digital 2026 Germany (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-germany,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
bevoelkerung,AT,9.11,Mio.,2025,DataReportal Digital 2026 Austria (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-austria,VERIFIED,Datenstand Okt. 2025
internetnutzer,AT,8.69,Mio.,2025,DataReportal Digital 2026 Austria (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-austria,VERIFIED,Datenstand Okt. 2025
social_media_identitaeten,AT,6.98,Mio.,2025,DataReportal Digital 2026 Austria (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-austria,VERIFIED,Datenstand Okt. 2025
youtube_ad_reach,AT,6.98,Mio.,2025,DataReportal Digital 2026 Austria (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-austria,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
instagram_ad_reach,AT,3.35,Mio.,2025,DataReportal Digital 2026 Austria (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-austria,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
tiktok_ad_reach_18plus,AT,2.49,Mio.,2025,DataReportal Digital 2026 Austria (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-austria,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
facebook_ad_reach,AT,3.05,Mio.,2025,DataReportal Digital 2026 Austria (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-austria,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
pinterest_ad_reach,AT,2.39,Mio.,2025,DataReportal Digital 2026 Austria (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-austria,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
bevoelkerung,CH,8.98,Mio.,2025,DataReportal Digital 2026 Switzerland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-switzerland,VERIFIED,Datenstand Okt. 2025
internetnutzer,CH,8.89,Mio.,2025,DataReportal Digital 2026 Switzerland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-switzerland,VERIFIED,Datenstand Okt. 2025
social_media_identitaeten,CH,7.27,Mio.,2025,DataReportal Digital 2026 Switzerland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-switzerland,VERIFIED,Datenstand Okt. 2025
youtube_ad_reach,CH,7.27,Mio.,2025,DataReportal Digital 2026 Switzerland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-switzerland,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
instagram_ad_reach,CH,3.8,Mio.,2025,DataReportal Digital 2026 Switzerland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-switzerland,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
tiktok_ad_reach_18plus,CH,2.46,Mio.,2025,DataReportal Digital 2026 Switzerland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-switzerland,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
facebook_ad_reach,CH,2.95,Mio.,2025,DataReportal Digital 2026 Switzerland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-switzerland,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
pinterest_ad_reach,CH,2.38,Mio.,2025,DataReportal Digital 2026 Switzerland (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-switzerland,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
bevoelkerung,US,348,Mio.,2025,DataReportal Digital 2026 United States (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-states-of-america,VERIFIED,Datenstand Okt. 2025
internetnutzer,US,324,Mio.,2025,DataReportal Digital 2026 United States (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-states-of-america,VERIFIED,Datenstand Okt. 2025
social_media_identitaeten,US,254,Mio.,2025,DataReportal Digital 2026 United States (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-states-of-america,VERIFIED,Datenstand Okt. 2025
youtube_ad_reach,US,254,Mio.,2025,DataReportal Digital 2026 United States (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-states-of-america,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
instagram_ad_reach,US,182,Mio.,2025,DataReportal Digital 2026 United States (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-states-of-america,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
tiktok_ad_reach_18plus,US,153,Mio.,2025,DataReportal Digital 2026 United States (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-states-of-america,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
facebook_ad_reach,US,198,Mio.,2025,DataReportal Digital 2026 United States (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-states-of-america,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
snapchat_ad_reach,US,104,Mio.,2025,DataReportal Digital 2026 United States (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-states-of-america,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
pinterest_ad_reach,US,96.9,Mio.,2025,DataReportal Digital 2026 United States (Ad-Tool-Daten Okt./Ende 2025),https://datareportal.com/reports/digital-2026-united-states-of-america,VERIFIED,"Werbe-Reichweite laut Plattform-Tools (Ad Reach), nicht identisch mit Unique Users; Datenstand Okt./Ende 2025"
