nische,brand_haendler,url_programm,netzwerk,zielmarkt,provision,provision_datenqualitaet,cookie_dauer,cookie_datenqualitaet,aov_bekannt,social_media_erlaubt,instagram_erlaubt,deep_links,produktfeed_api,internationale_lieferung,besonderheiten,quelle_url,pruefdatum
Gaming/Desk Setup,"Logitech (inkl. Logitech G, Ultimate Ears, Astro)",https://www.logitech.com/en-us/programs/affiliate-program,Impact,US (separates Impact-Programm für EMEA lt. Verzeichnis),"4–10 % Standard, je nach Marke; saisonale und Performance-Boni",VERIFIED,30 Tage,VERIFIED,125 USD (vom Brand genannt),UNKNOWN (keine expliziten Regeln; Coupon-/Deal-Partner wie Honey als Referenz genannt),UNKNOWN,UNKNOWN (programmspezifisch nicht angegeben; Impact bietet netzwerkseitig Deeplinks),Produktkatalog + Banner/Textlinks lt. Programmseite,UNKNOWN,"EMEA-Direktkonditionen nicht öffentlich; Subnetz-Raten EMEA 2,8–3,2 % (MCANISM/FlexOffers). Hinweis: im Verzeichnis gelistete Raten von FlexOffers/SaleGains/MCANISM/cityads/MyLead/AdPump/Admitad sind Subnetzwerk-Raten (i.d.R. unter der Direktrate).",https://www.logitech.com/en-us/programs/affiliate-program ; https://www.affiliate-marketing.de/partnerprogramme/logitech.com,2026-09-26
Gaming/Desk Setup,Razer,UNKNOWN,Impact (global); daisycon; weitere Subnetze,"Global inkl. DE, UK, US","Impact-Direktrate nicht öffentlich; daisycon 3,75–7,5 %; Sekundärquellen: bis 3 % Peripherie / 5 USD je System",THIRD-PARTY ESTIMATE,30 Tage (Sekundärquellen),THIRD-PARTY ESTIMATE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (programmspezifisch nicht angegeben; Impact bietet netzwerkseitig Deeplinks),UNKNOWN,UNKNOWN,Angaben widersprüchlich zwischen Quellen. Hinweis: im Verzeichnis gelistete Raten von FlexOffers/SaleGains/MCANISM/cityads/MyLead/AdPump/Admitad sind Subnetzwerk-Raten (i.d.R. unter der Direktrate).,https://www.affiliate-marketing.de/partnerprogramme/razer.com ; https://referralrocket.io/affiliate-program/razer_10I,2026-09-26
Gaming/Desk Setup,Corsair,UNKNOWN,Impact (34 Territorien inkl. DE/AT/CH/US); Admitad; SaleGains,"Global inkl. DE, US, UK","Direktrate nicht öffentlich; Subnetze 0,9–3,5 % (Admitad 3,5 %)",THIRD-PARTY ESTIMATE,30 Tage (Sekundärquellen),THIRD-PARTY ESTIMATE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (programmspezifisch nicht angegeben; Impact bietet netzwerkseitig Deeplinks),UNKNOWN,UNKNOWN,Sekundärquellen nennen 1–8 % (stark widersprüchlich). Hinweis: im Verzeichnis gelistete Raten von FlexOffers/SaleGains/MCANISM/cityads/MyLead/AdPump/Admitad sind Subnetzwerk-Raten (i.d.R. unter der Direktrate).,https://www.affiliate-marketing.de/partnerprogramme/corsair.com ; https://getlasso.co/affiliate/corsair/,2026-09-26
Gaming/Desk Setup,SteelSeries,UNKNOWN,Impact (190+ Territorien); CJ,"Global inkl. DE, UK, US",CJ-Listing 4 %; Impact-Rate nicht öffentlich,THIRD-PARTY ESTIMATE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (programmspezifisch nicht angegeben; Impact bietet netzwerkseitig Deeplinks),UNKNOWN,"Gratisversand ab 59,99 €/£ lt. Programmbeschreibung","FlexOffers US 3,2 % (Subnetz).",https://www.affiliate-marketing.de/partnerprogramme/steelseries.com,2026-09-26
Gaming/Desk Setup,HyperX (by HP),UNKNOWN,CJ,UNKNOWN (Markt im Verzeichnis nicht angegeben),1 %,THIRD-PARTY ESTIMATE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (programmspezifisch nicht angegeben; CJ bietet netzwerkseitig Deeplinks),UNKNOWN,UNKNOWN,Sehr niedrige Rate; Listing seit 03/2026.,https://www.affiliate-marketing.de/partnerprogramme/hyperx.com,2026-09-26
Gaming/Desk Setup,ASUS (inkl. ROG),UNKNOWN,Awin (GB; US/CA); Subnetze,"UK (Awin 5 %), US/CA (Awin 1 %); DE nur via Subnetz (MyLead 2,1 %)",UK 5 %; US/CA 1 %,THIRD-PARTY ESTIMATE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (programmspezifisch nicht angegeben; Awin bietet netzwerkseitig Deeplink-Generator),UNKNOWN,UNKNOWN,Kein Awin-DE-Programm im Verzeichnis. Hinweis: im Verzeichnis gelistete Raten von FlexOffers/SaleGains/MCANISM/cityads/MyLead/AdPump/Admitad sind Subnetzwerk-Raten (i.d.R. unter der Direktrate).,https://www.affiliate-marketing.de/partnerprogramme/asus.com,2026-09-26
Gaming/Desk Setup,Secretlab,https://secretlab.co/pages/affiliates,UNKNOWN (eigene Programmseite; Details nicht abrufbar),US (Seite 'Secretlab US'),Sekundärquelle: 12 % (unbestätigt),THIRD-PARTY ESTIMATE,"7 Tage (Sekundärquelle, unbestätigt)",THIRD-PARTY ESTIMATE,UNKNOWN (Titan Evo Preis nicht abrufbar),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Offizielle Seite beim Abruf abgeschnitten; Konditionen vor Nutzung im Programm prüfen.,https://secretlab.co/pages/affiliates ; https://taprefer.com/secretlab-affiliate-program/secretlab/,2026-09-26
Gaming/Desk Setup,noblechairs,https://ui.awin.com/merchant-profile/39624,Awin (ID 39624),"AT, DE, US, UK, BE, PT, FR, CH, LU, ES, NL","5 % (Programmseite: flat; Verzeichnis EUR-Programm 1,5–5 %, GBP 5 %)",VERIFIED,30 Tage,VERIFIED,'High AOV' (keine Zahl genannt),Ja – 'digitale Content-Ersteller' explizit willkommen,UNKNOWN (nicht explizit genannt),Tracking-Links/Link-Builder im Dashboard,UNKNOWN,"Ja, 11 Länder lt. Programmseite",Awin-Registrierung Voraussetzung; exklusive Deals/Rabatte für Partner.,https://ui.awin.com/merchant-profile/39624 ; https://www.noblechairs.eu/de-at/partnerprogramm/cp_000023.html,2026-09-26
Gaming/Desk Setup,Caseking (DE),https://ui.awin.com/merchant-profile/28817,Awin (ID 28817),DE (auch internationale Märkte),Basis 1 %; PC-Systeme 3 %; noblechairs/ThunderX3/Ducky 5 %,VERIFIED,30 Tage,VERIFIED,'Hoher AOV' (keine Zahl genannt),UNKNOWN,UNKNOWN,UNKNOWN (programmspezifisch nicht angegeben; Awin bietet netzwerkseitig Deeplink-Generator),UNKNOWN,Ja (deutsche und internationale Märkte lt. Profil),Niedrige Basisrate für Hardware; Eigenmarken höher verprovisioniert.,https://ui.awin.com/merchant-profile/28817,2026-09-26
Gaming/Desk Setup,Herman Miller (US Store),https://store.hermanmiller.com/affiliate-signup.html?lang=en_US,CJ (Commission Junction),US (nur US-Partner zugelassen lt. FAQ),4 % (CJ-Listing im Verzeichnis; offizielle Seite nennt keine Zahl),THIRD-PARTY ESTIMATE,30 Tage (Sekundärquelle),THIRD-PARTY ESTIMATE,"Preisstichprobe: Aeron ab 2.305 USD (store.hermanmiller.com, 2026-09-26)",UNKNOWN (FAQ schließt nur Seiten mit expliziten/gewalttätigen Inhalten aus),UNKNOWN,UNKNOWN (programmspezifisch nicht angegeben; CJ bietet netzwerkseitig Deeplinks),Ja – Produktdaten-Feeds für zugelassene Partner (FAQ); täglich aktualisierter Katalog lt. Verzeichnis,US,Partner außerhalb der USA derzeit nicht akzeptiert; Banner dürfen nicht verändert werden; separates Gaming-Affiliate-Programm (CJ) in Kooperation mit Logitech G.,https://store.hermanmiller.com/faq-affiliate-program.html?lang=en_US ; https://store.hermanmiller.com/gaming-affiliate-signup?lang=en_US ; https://www.affiliate-marketing.de/partnerprogramme/hermanmiller.com,2026-09-26
