shortcode,handle,views,views_text,topics,caption,url,source,topic_index,topic_pct,n_topics,topic_groups,primary_group,posted_at_utc,post_year,age_days,post_hour_utc,post_weekday,meta_status,visual_status,media_type,followers_text,followers_at_fetch,posts_at_fetch,likes,comments,caption_len,caption_hashtags,caption_has_question,caption_emojis,caption_mentions,caption_link_hint,caption_comment_cta,caption_full,coder,source_file,room_primary,building_type,landscape,style_primary,style_secondary,palette_temp,brightness,lighting,view_through_window,people_present,cover_text,realism,production,production_evidence,shoppability,visual_quality,notable,caption_hook_category,caption_first_line,cta_type,location_claimed,price_claimed,ai_disclosed,account_kind_hint,language,rooms_visible,dominant_colors,materials,ambience_fx,cover_hooks,followers,followers_source,vpf,tier,likes_per_view,comments_per_view,comments_per_like,views_per_day,adj_resid,adj_factor,location,location_from_topic,location_any,status_views,status_followers,status_codes,caption_len_bucket,hashtag_bucket,follower_bucket,acct_pct,acct_rel,class
C_Pf1dboaeJ,siyad_abdali,282000000.0,282M,dream-room,,https://www.instagram.com/reel/C_Pf1dboaeJ/,https://www.instagram.com/popular/dream-room/,80.57142857142857,1.0,1,fantasy_dream,fantasy_dream,2024-08-29T05:30:05.840000+00:00,2024,756,5,Thu,ok,ok,reel,,,,12000000.0,28800.0,0,0,False,0,0,False,False,,cover-v2,cover_pilot_000.json,bedroom,apartment,city_skyline,warm_luxury,,warm,medium,night_artificial,True,False,,stylized_dreamy,ai_generated,"AI-typical look: garbled laptop screen and smeared picture-frame contents, too-perfect glowing plush surfaces; caption not shown so no disclosure",medium,high,"Two-level loft bedroom with a fairy-lit round nest bed below and a raised bed above, both facing a rainy night city skyline, reads as an instant cozy-dream fantasy.",none,,none,,,False,other,,bedroom,beige;white;brown;black,fabric;glass;wood,rain;city_lights,bed_focus;view_reveal;unusual_architecture,4000000.0,embed_account_lookup,70.5,5_EXTREME_OUTLIER,0.0425531914893617,0.00010212765957446809,0.0024,373015.873015873,1.9979231205561216,99.52292248252195,,,,"VERIFIED (public topic page, rounded)","VERIFIED (public embed, rounded, at fetch)",ESTIMATED (AI-assisted coding of cover frame + caption),0,0,1M+,1.0,61.97802197802198,top10
C9SiQc8S9xq,siyad_abdali,109000000.0,109M,modern-living-room,,https://www.instagram.com/reel/C9SiQc8S9xq/,https://www.instagram.com/popular/modern-living-room/,288.35978835978835,1.0,1,room_generic,room_generic,2024-07-11T16:46:11.537000+00:00,2024,805,16,Thu,ok,ok,reel,4M followers,4000000.0,2110.0,6703077.0,,0,0,False,0,0,False,False,,cover-v2-embed,cover_q1_005.json,living_room,penthouse,city_skyline,glam_feminine,classical_luxury,cool,medium,night_artificial,True,False,,stylized_dreamy,ai_generated,"typical AI artifacts: melted/garbled forms on the left chair and upper mezzanine furniture, floating purple fairy-light dots, illogical ceiling geometry; account's other coded reels are AI",low,high,"Double-height white tufted-glam penthouse with crystal chandelier, floating staircase, snow falling over night city lights and Tom and Jerry on the TV is a maximal dream-home fantasy.",none,,none,,,False,ai_creator,,living_room;stairs_hall;kitchen,white;cream;black;purple,glass;fabric;leather;metal;marble,snow;city_lights,dramatic_scale;view_reveal,4000000.0,embed_reel,27.25,5_EXTREME_OUTLIER,0.06149611926605505,,,135403.72670807454,2.0672283612061397,116.74233115204962,,,,"VERIFIED (public topic page, rounded)","VERIFIED (public embed, rounded, at fetch)",ESTIMATED (AI-assisted coding of cover frame + caption),0,0,1M+,0.8333333333333334,23.956043956043956,middle
DHBihXfMPDA,aiforarchitects,34700000.0,34.7M,luxury-mansion,Mansion in Dubai: Experience ultra-modern elegance and unparalleled luxury with our black concept design. By @aiforarchitects 🖤🏡 #DubaiLuxury #UltraLu,https://www.instagram.com/reel/DHBihXfMPDA/,https://www.instagram.com/popular/luxury-mansion/,30.17391304347826,1.0,1,luxury_home,luxury_home,2025-03-10T15:35:21.239000+00:00,2025,563,15,Mon,ok,ok,reel,1M followers,1000000.0,513.0,2890573.0,9506.0,174,3,False,2,1,False,False,Mansion in Dubai: Experience ultra-modern elegance and unparalleled luxury with our black concept design. By @aiforarchitects 🖤🏡 #DubaiLuxury #UltraLuxuryLiving #BlackConcept,cover-v2-embed,cover_r00_011.json,exterior_facade,mansion,city_skyline,dark_luxury,modern_luxury,warm,medium,golden_hour,False,False,,aspirational_realistic,ai_generated,"account is aiforarchitects; over-smooth render look, illegible garbled license plate, idealized sunset lighting typical of AI imagery (caption itself does not state AI)",low,high,Black cantilevered modernist mansion with LED-lit edges at sunset and a black Porsche in the driveway reads as instant status/luxury imagery.,location,Mansion in Dubai: Experience ultra-modern elegance and unparalleled luxury with our black concept design. By @aiforarchi,none,Dubai,,False,ai_creator,en,exterior_facade;pool;garden_landscape;terrace_outdoor,black;grey;gold;green,glass;metal;natural_stone;wood;plants;water,none,exterior_reveal;pool;dramatic_scale,1000000.0,embed_reel,34.7,5_EXTREME_OUTLIER,0.08330181556195966,0.00027394812680115273,0.0032886213217932915,61634.10301953819,1.6774544750664517,47.583290917385895,Dubai/UAE,,Dubai/UAE,"VERIFIED (public topic page, rounded)","VERIFIED (public embed, rounded, at fetch)",ESTIMATED (AI-assisted coding of cover frame + caption),151-400,1-3,500k-1M,1.0,17.35,top10
DNS1_gYMh2a,sunt_mrr,24500000.0,24.5M,bali-luxury-villas-with-private-pools,Luxury Ubud infinity villa . . . . . . . . . . . . . #midjourney #mariadudkina #luxuryinteriors #villa #bali #houses,https://www.instagram.com/reel/DNS1_gYMh2a/,https://www.instagram.com/popular/bali-luxury-villas-with-private-pools/,54.203539823008846,1.0,1,location,location,2025-08-13T12:00:56.841000+00:00,2025,407,12,Wed,ok,ok,reel,2M followers,2000000.0,728.0,1562489.0,4751.0,118,6,False,0,0,False,False,Luxury Ubud infinity villa . . . . . . . . . . . . . . #midjourney #mariadudkina #luxuryinteriors #villa #bali #houses,cover-v2-embed,cover_r01_019.json,pool,villa,jungle_tropical,tropical,modern_luxury,neutral,bright,golden_hour,False,False,,stylized_dreamy,ai_generated,"caption hashtag #midjourney; idealized too-perfect composition of pool, mist and rice terraces",low,high,A circular black-stone infinity pool cantilevered over misty Bali rice terraces at sunrise.,descriptive,Luxury Ubud infinity villa,none,"Ubud, Bali",,True,ai_creator,en,pool;terrace_outdoor;exterior_facade,green;black;blue;peach,natural_stone;water;wood;glass;plants,fog,pool;view_reveal;unusual_architecture,2000000.0,embed_reel,12.25,4_VIRAL,0.0637750612244898,0.00019391836734693877,0.0030406614062563,60196.560196560196,0.806210819049336,6.400454565824739,Bali/Indonesia,Bali/Indonesia,Bali/Indonesia,"VERIFIED (public topic page, rounded)","VERIFIED (public embed, rounded, at fetch)",ESTIMATED (AI-assisted coding of cover frame + caption),51-150,4-10,1M+,1.0,8.448275862068966,top10
DW4-fMTiB96,elitebuildhq,24000000.0,24M,modern-architecture,The Evolution of Luxury: The Living Garden Garage. 🌿🏎️ Witness the seamless blend of mode,https://www.instagram.com/reel/DW4-fMTiB96/,https://www.instagram.com/popular/modern-architecture/,8.135593220338983,0.9166666666666666,1,architecture,architecture,2026-04-09T00:08:51.968000+00:00,2026,168,0,Thu,ok,ok,reel,2M followers,2000000.0,317.0,311859.0,367.0,734,0,True,2,0,False,True,"The Evolution of Luxury: The Living Garden Garage. 🌿🏎️ Witness the seamless blend of modern architecture and nature. This million-dollar garden garage isn't just a structure; it's a masterpiece built from living plants, designed to house the world's most elite machinery. Precision engineering meets organic beauty. From the crane-assisted installation to the perfectly manicured aesthetics, this is where high-end design reaches its peak. Would you park your collection here? Global Audience & Distribution: This content is curated for a premium audience and is currently trending across major international hubs, specifically tailored for viewers and enthusiasts in: • United States 🇺🇸 • United Kingdom 🇬🇧 • Canada 🇨🇦 • Australia 🇦🇺",cover-v2-embed,cover_r07_087.json,garden_landscape,unusual_structure,none,modern_luxury,minimalist,neutral,bright,daylight,False,False,,stylized_dreamy,ai_generated,"warped, inconsistent frame lines on the transparent structure, crane straps attach illogically, over-perfect lawn stripes; caption hype ('built from living plants') matches AI slop pattern",low,medium,A transparent glass-and-steel garage shell hangs from yellow crane straps above a paved pad framed by boxwood hedges in front of a concrete modernist villa.,aspirational,The Evolution of Luxury: The Living Garden Garage. 🌿🏎️,question_engagement,,million-dollar,False,theme_page,en,garden_landscape;exterior_facade,green;grey;white;yellow,glass;metal;concrete;natural_stone;plants,none,unusual_architecture;exterior_reveal,2000000.0,embed_reel,12.0,4_VIRAL,0.012994125,1.5291666666666668e-05,0.0011768138806319522,142857.14285714287,0.5363684706097986,3.4384955815316576,,,,"VERIFIED (public topic page, rounded)","VERIFIED (public embed, rounded, at fetch)",ESTIMATED (AI-assisted coding of cover frame + caption),401-1000,0,1M+,1.0,6.0,top10
DQ4OUB3Di0Y,wayup_media,22700000.0,22.7M,luxury-homes,"BOOM 💥 Dream home unlocked. This luxury build has a front courtyard and water features leading up to the entrance. The backyard has a sports court, so",https://www.instagram.com/reel/DQ4OUB3Di0Y/,https://www.instagram.com/popular/luxury-homes/,53.983353151010704,1.0,1,luxury_home,luxury_home,2025-11-10T13:59:32.807000+00:00,2025,318,13,Mon,ok,ok,reel,941K followers,941000.0,3170.0,1953917.0,5811.0,364,4,True,1,4,False,False,"BOOM 💥 Dream home unlocked. This luxury build has a front courtyard and water features leading up to the entrance. The backyard has a sports court, soccer field, and pool. Who are you inviting over?  Home Architect: @azdarchitects Builder: @cdpaarchitects Landscape Design: @imaginedesignandbuild Landscape Products: @techobloc  #luxury #homes #backyard #dreamlife",cover-v2-embed,cover_r07_085.json,exterior_facade,mansion,none,modern_luxury,,cool,medium,blue_hour,False,True,,real_existing,real_footage,"real handheld footage: woman walking, wet reflective pavement, natural dusk sky with warm interior and landscape lighting",low,high,"Woman in black walks across a wet stone courtyard toward a glowing glass-and-stone modern mansion at dusk, a classic POV arrival shot.",aspirational,BOOM 💥 Dream home unlocked. This luxury build has a front courtyard and water features leading up to the entrance. The b,question_engagement,,,False,media_publication,en,exterior_facade;terrace_outdoor;garden_landscape,grey;blue;beige;black,natural_stone;glass;concrete;metal;plants,none,person;exterior_reveal,941000.0,embed_reel,24.12327311370882,5_EXTREME_OUTLIER,0.08607563876651983,0.00025599118942731277,0.0029740260205525617,71383.64779874214,1.3700546074359088,23.445235931227355,,,,"VERIFIED (public topic page, rounded)","VERIFIED (public embed, rounded, at fetch)",ESTIMATED (AI-assisted coding of cover frame + caption),151-400,4-10,500k-1M,1.0,7.442622950819672,top10
DXC3fVijoEN,elitebuildhq,17300000.0,17.3M,underground-house,"The Ultimate Secret Underground Oasis 🌊💎 . Experience the future of sustainable luxury. Step inside this breathtaking underground container home, wher",https://www.instagram.com/reel/DXC3fVijoEN/,https://www.instagram.com/popular/underground-house/,15.592609283461018,1.0,1,unusual_home,unusual_home,2026-04-12T20:20:07.454000+00:00,2026,165,20,Sun,ok,ok,reel,2M followers,2000000.0,317.0,609014.0,2338.0,907,0,True,2,0,False,True,"The Ultimate Secret Underground Oasis 🌊💎 . Experience the future of sustainable luxury. Step inside this breathtaking underground container home, where architectural innovation meets ultimate serenity. Featuring a stunning subterranean swimming pool and a sleek, minimalist interior, this space redefines what's possible with modern engineering. Whether you're looking for a private sanctuary or a high-tech bunker, this design is the pinnacle of cozy sophistication. What do you think of this underwater view? Would you live here? Let us know in the comments! . Global Luxury Concepts & Architecture Trends Inspired by the architectural excellence seen in the United States, Canada, and the United Kingdom. This design reflects the growing demand for innovative living spaces across Australia, Germany, and France. Proudly showcasing modern aesthetics for our viewers in Switzerland, Norway, and Singapore.",cover-v2-embed,cover_r05_063.json,pool,house,none,modern_luxury,warm_luxury,warm,medium,blue_hour,False,False,,aspirational_realistic,ai_generated,"smeared, blurry floating shapes in the foreground and over-perfect uniform LED/string lighting typical of AI video; caption describes an underground container home that does not match the backyard pool shown",medium,high,Drone-style top-down view of a glowing hexagonal pool framed by an LED-edged timber deck with a fire-pit lounge at dusk; the geometric shape and warm edge glow stop the scroll.,curiosity,The Ultimate Secret Underground Oasis 🌊💎,question_engagement,,,False,theme_page,en,pool;terrace_outdoor;garden_landscape;exterior_facade,brown;blue;green;white,wood;water;plants;fabric;fire,fireplace,pool;dramatic_scale,2000000.0,embed_reel,8.65,4_VIRAL,0.03520312138728324,0.00013514450867052022,0.0038389922070756993,104848.48484848485,0.927640154806109,8.465257141266978,,,,"VERIFIED (public topic page, rounded)","VERIFIED (public embed, rounded, at fetch)",ESTIMATED (AI-assisted coding of cover frame + caption),401-1000,0,1M+,0.8333333333333334,4.325,middle
DVGl8ltDtL_,wayup_media,10200000.0,10.2M,real-estate,"This answer says more about your marriage than you might think 😂 Tag her to see if you got it right. One home gives full luxury castle vibes, the next",https://www.instagram.com/reel/DVGl8ltDtL_/,https://www.instagram.com/popular/real-estate/,92.05776173285199,0.9166666666666666,1,real_estate,real_estate,2026-02-23T14:01:00.339000+00:00,2026,213,14,Mon,ok,ok,reel,942K followers,942000.0,3170.0,134493.0,10077.0,267,4,False,1,0,False,False,"This answer says more about your marriage than you might think 😂 Tag her to see if you got it right.  One home gives full luxury castle vibes, the next feels like a modern resort, and the third is a cozy cabin tucked into nature.  #luxury #realestate #mansion #houses",cover-v2-embed,cover_q3_015.json,exterior_facade,mansion,none,classical_luxury,,neutral,medium,blue_hour,False,False,"If you really know your wife, which house is she choosing?",real_existing,real_footage,real camera footage of a real estate driveway at dusk with natural sky gradient,low,high,"A symmetrical shot down a long paved driveway through iron gates to a lit French chateau-style mansion at dusk, with a which-house quiz overlay.",choice,This answer says more about your marriage than you might think 😂 Tag her to see if you got it right.,tag_friend,,,False,media_publication,en,exterior_facade;garden_landscape,grey;white;green;blue,natural_stone;metal;plants,none,text_overlay;exterior_reveal;dramatic_scale,942000.0,embed_reel,10.828025477707007,4_VIRAL,0.013185588235294117,0.0009879411764705881,0.07492583257121188,47887.32394366197,1.1408060253739525,13.82948556602947,,,,"VERIFIED (public topic page, rounded)","VERIFIED (public embed, rounded, at fetch)",ESTIMATED (AI-assisted coding of cover frame + caption),151-400,4-10,500k-1M,0.9166666666666666,3.3442622950819674,top10
ClqxD0UjSbJ,wayup_media,9800000.0,9.8M,luxury-real-estate,Would you live here?? Sneak peak into a magnificent property we shot yesterday 🥂 Builder: @lamarcohomes Architect: @martinisamartinodesigngroup Design,https://www.instagram.com/reel/ClqxD0UjSbJ/,https://www.instagram.com/popular/luxury-real-estate/,8.757819481680071,1.0,1,luxury_home,luxury_home,2022-12-02T14:03:51.170000+00:00,2022,1392,14,Fri,ok,ok,reel,942K followers,942000.0,3170.0,645104.0,1455.0,302,9,True,1,4,False,True,Would you live here?? Sneak peak into a magnificent property we shot yesterday 🥂  Builder: @lamarcohomes Architect: @martinisamartinodesigngroup Designer: @artharrison_4339 Landscape Architect: @mosher_design  #luxury #luxurylifestyle #realestate #home #mansion #interiordesign #style #classy #michigan,cover-v2-embed,cover_r06_068.json,exterior_facade,mansion,none,modern_luxury,organic_modern,neutral,medium,blue_hour,False,False,,real_existing,real_footage,"real gimbal/camera footage of a finished house; caption credits builder, architect, designer and says 'we shot yesterday'",low,high,"Dusk exterior of a prairie-modern mansion with stacked stone, cedar cladding and glowing floor-to-ceiling windows revealing an interior staircase, framed by manicured plantings and a cobblestone drive.",question,Would you live here?? Sneak peak into a magnificent property we shot yesterday 🥂,question_engagement,Michigan,,False,media_publication,en,exterior_facade;garden_landscape;stairs_hall,blue;beige;brown;green,natural_stone;wood;glass;metal;plants,none,exterior_reveal,942000.0,embed_reel,10.40339702760085,4_VIRAL,0.0658269387755102,0.00014846938775510204,0.0022554502839852177,7040.229885057472,0.4959840750092671,3.1331708330761714,Other,,Other,"VERIFIED (public topic page, rounded)","VERIFIED (public embed, rounded, at fetch)",ESTIMATED (AI-assisted coding of cover frame + caption),151-400,4-10,500k-1M,0.8333333333333334,3.2131147540983607,middle
Coh1BTUD6jx,wayup_media,8200000.0,8.2M,luxury-real-estate,How much is this home is worth?? Architect: @azdarchitects #luxuryhomes #luxurylifestyle #realestate #cool #luxury #wealth #money,https://www.instagram.com/reel/Coh1BTUD6jx/,https://www.instagram.com/popular/luxury-real-estate/,7.327971403038427,0.9166666666666666,1,luxury_home,luxury_home,2023-02-11T16:19:28.769000+00:00,2023,1321,16,Sat,ok,ok,reel,941K followers,941000.0,3170.0,444538.0,1409.0,131,7,True,0,1,False,False,How much is this home is worth??  Architect: @azdarchitects  #luxuryhomes #luxurylifestyle #realestate #cool #luxury #wealth #money,cover-v2-embed,cover_r03_037.json,exterior_facade,mansion,none,modern_luxury,,neutral,medium,blue_hour,False,True,,real_existing,real_footage,"handheld phone footage of real house at dusk, woman walking down stairs, natural camera look",low,high,Glowing two-storey glass facade of a modern house at blue hour with a woman descending the stairs gives an instant exterior reveal.,question,How much is this home is worth??,question_engagement,,,False,theme_page,en,exterior_facade;garden_landscape;terrace_outdoor,blue;beige;black;green,glass;natural_stone;wood;metal;plants,none,exterior_reveal;person;dramatic_scale,941000.0,embed_reel,8.71413390010627,4_VIRAL,0.054211951219512194,0.00017182926829268294,0.0031695828028200064,6207.4186222558665,0.4187875890722025,2.6229353670436923,,,,"VERIFIED (public topic page, rounded)","VERIFIED (public embed, rounded, at fetch)",ESTIMATED (AI-assisted coding of cover frame + caption),51-150,4-10,500k-1M,0.75,2.6885245901639343,middle
