id,titel,content_pillar,hook,visual_hook_first_2s,raum,location,stil,farbschema,kamera,laenge_sek,text_overlay,cta,monetarisierung,warum_laut_daten,test_variable,prioritaet
"C001","Unbuilt No. 001 – The Spiral Tower","P1 Impossible Homes","Every room in this house is a landing.","Tiny figure at the foot of a glowing stone spiral; camera already lifting","stairs_hall (the stair IS the house)","mountain valley (fictional, no address)","warm_luxury","travertine, walnut, brass glow + night-blue sky","slow vertical crane rise through the spiral, single take, ends on roof terrace","10-12","Unbuilt No. 001 · AI concept","Which landing is yours: top, middle or bottom?","Reichweite/Follows; Prompt als kostenloser DM-Lead-Magnet (q06, Verkaufsbelege für Prompt-Packs UNKNOWN)","KI stairs_hall adj 2,24 (n=16, Richtung; 04-DB KI-only); KI fantasy_impossible 2,27 (n=53) vs. stylized_dreamy 0,70 (n=305) = 3,25×, p≈0,001 (Digest Key contrasts)","Kamera: vertikaler Rise vs. Push-in","A (Start, Woche 1–2)"
"C002","Unbuilt No. 002 – Behind the Waterfall","P1 Impossible Homes","The front door is behind the waterfall.","Warm-lit doorway flickering through falling water at night; small figure stepping in","exterior_facade + living_room","mountain gorge (fictional)","warm_luxury","wet dark stone, amber interior light, night blue","slow push-in through the water curtain into the lounge","8-10","Unbuilt No. 002 · AI concept","Would you get wet every time you come home? Yes or no.","Reichweite; B2B-Showcase Wasser-Features (Modell belegt bei aiforarchitects, Umsatz UNKNOWN – q06)","Cover water_feature adj 1,09 (n=167, Digest-Segment; innerhalb Accounts aber −12 Pp in Top-10 %); KI mountain 1,72 (n=33, 04-DB); fantasy gesamt 2,10 (n=62) vs. Rest 0,92, p≈0,01 (Digest Key contrasts)","Figur: mit vs. ohne Silhouette","A (Start, Woche 1–2)"
"C003","Unbuilt No. 003 – The Hollow Boulder","P1 Impossible Homes","One boulder. Four floors. Zero straight walls.","Single glowing crack in a giant beach boulder at dusk; figure for scale","exterior_facade + stairs_hall","ocean_beach (fictional coast)","minimalist + warm_luxury","sand, pale stone, brass light, deep blue sea","orbit around the boulder, then push into the crack","10-12","Unbuilt No. 003 · AI concept","Guess what's on the top floor.","Reichweite/Follows","KI ocean_beach adj 1,81 (n=26, 04-DB); KI unusual_structure 1,10 (n=98) vs. KI mansion 0,66 (n=37) (04-DB)","Kamera: Orbit vs. Push-in","A (Start, Woche 1–2)"
"C004","Unbuilt No. 004 – The Bridge Between Peaks","P1 Impossible Homes","No neighbors. Just two mountains holding up your living room.","Lit glass-and-timber bridge-house spanning two dark peaks; figure silhouetted mid-span","exterior_facade + living_room","mountain (fictional ridge)","futuristic + warm timber","warm timber, amber glass, night blue, bare rock","side-on drone drift along the bridge, slow","8-10","Unbuilt No. 004 · AI concept","Would you cross it every night?","Reichweite; Tool-Credit in Caption (Tool-Partnerschaft/Affiliate, z. B. Runway 15 USD pro Abo – q03)","KI mountain 1,72 (n=33, 04-DB); KI mit Personen 1,34 (n=106) vs. ohne 0,80 (n=580) = 1,68×, p≈0,02 (Digest Key contrasts)","Hook: Curiosity-Statement vs. Choice-Frage","A (Start, Woche 1–2)"
"C005","Unbuilt No. 005 – The Underground Garden","P1 Impossible Homes","The garden is three floors underground. The sky still fits.","Looking down a circular shaft into a lit garden with a pool; tiny figure at the bottom","garden_landscape + pool","none (abstract plain, fictional)","tropical + warm_luxury","lush green, warm stone, lantern amber, star-lit night","top-down descent into the shaft, ends at eye level","10-12","Unbuilt No. 005 · AI concept","Sunlight or starlight: when would you swim here?","Garten-/Outdoor-'similar items' (q02); B2B-Landschaftsbau-Lead (q06)","KI garden_landscape 1,61 (n=43), KI pool 1,16 (n=23) (04-DB); KI Outdoor/Bad/Treppe/Pool vs. Schlaf/Wohn/Küche 2,07×, p<0,001 (post-hoc, Digest Key contrasts)","Kamera: Top-down-Descent vs. Push-in auf Augenhöhe","A (Start, Woche 1–2)"
"C006","Unbuilt No. 006 – The Sea Cave Bath","P1 Impossible Homes","A bathtub where the tide sets the schedule.","Stone tub glowing inside a dark sea cave, waves at the mouth; robed figure in silhouette","bathroom","ocean_beach (fictional sea cave)","warm_luxury","travertine tub, brass fixtures, dark basalt, night-blue water","slow push-in from cave mouth to tub; no window framing","8-10","Unbuilt No. 006 · AI concept","High tide or low tide bath? Pick one.","Bad-'similar items' (Wanne/Armaturen, 'similar, not exact' + Affiliate-Hinweis – q02)","KI bathroom 1,45 (n=28, 04-DB); bathroom gesamt 1,43 (n=60, Digest-Segment); Fensterblick 0,70× (n=306, p≈0,02, Digest Key contrasts) → Höhlenöffnung statt Fensterrahmen","Licht: Nacht warm vs. Blue Hour","A (Start, Woche 1–2)"
"C007","Unbuilt No. 007 – The Ring Around the Tree","P1 Impossible Homes","The tree was here first, so the house wraps around it.","Circular timber house glowing around a giant old tree at night; figure in the courtyard","exterior_facade + garden_landscape","none (open meadow, fictional)","warm_luxury + timber (kein organic_modern-Look)","walnut, moss green, amber light, night blue","slow overhead orbit, descending into the courtyard","10-12","Unbuilt No. 007 · AI concept","Would you live with a tree in the middle of your house?","Reichweite/Follows","KI unusual_structure 1,10 (n=98), KI garden_landscape 1,61 (n=43) (04-DB); Cover person 1,04 (n=505, Digest-Segment)","Kamera: Overhead-Orbit vs. bodennahe Fahrt","B (Woche 3–4)"
"C008","Unbuilt No. 008 – One Room Above the Clouds","P1 Impossible Homes","One room. One lamp. Nothing above you but stars.","Slim tower top lit warm, rising out of a sea of clouds under stars; figure reading","other (single-room tower top)","space_sky / above clouds (fictional)","minimalist + warm_luxury","cloud white, brass lamp glow, deep night blue, stars","slow drone push toward the lit room, then over the roof","8-10","Unbuilt No. 008 · AI concept","How long could you stay up here: a night, a month, forever?","Reichweite; Wallpaper/Print als digitales Produkt testen (Umsatzbelege UNKNOWN, q06)","space_sky adj 2,64 (n=12, low confidence, Digest-Segment); KI stars 1,49 (n=14, low confidence) und KI night_artificial 1,27 (n=93) (04-DB)","Länge: 8 s vs. 15 s","B (Woche 3–4)"
"C009","Unbuilt No. 009 – The Stairs That Become a Pool","P1 Impossible Homes","The staircase doesn't end. It turns into a pool.","Figure walking down wide lit stone steps that slide seamlessly under glowing water","stairs_hall + pool","mountain lake (fictional)","warm_luxury","travertine, turquoise-lit water, brass step lights, night blue","follow shot behind the figure descending, slow","8-12","Unbuilt No. 009 · AI concept","Walk in or dive in?","Reichweite; Pool-B2B-Showcase (q06)","KI stairs_hall 2,24 (n=16) + KI pool 1,16 (n=23) (04-DB, kleine n); KI fantasy 2,27 (n=53) vs. aspirational_realistic 0,90 (n=328) = 2,53×, p≈0,008 (Digest Key contrasts)","Figur: Rückenansicht vs. keine Figur","A (Start, Woche 1–2)"
"C010","Unbuilt No. 010 – Built From the Ceiling Down","P1 Impossible Homes","This house hangs from the rock. The floor is the last thing it reaches.","Inverted glass-and-stone home hanging beneath a huge rock overhang, lights on, figure on the lowest balcony","exterior_facade","mountain overhang (fictional)","futuristic","dark granite, warm window glow, night blue, bronze frames","low-angle tilt-up from the valley floor","8-10","Unbuilt No. 010 · AI concept","Top room or bottom room: where do you sleep?","Reichweite/Follows","KI futuristic 1,06 (n=58, 04-DB) + fantasy 2,27 (n=53); Topic-Gruppe architecture: 57 % der Top-Reels <180 Tage, neue Reels adj 1,53 (n=34) (Digest-Freshness)","Kamera: Tilt-up vs. Drohnen-Orbit","B (Woche 3–4)"
"C011","Unbuilt No. 011 – The Treehouse Cathedral","P1 Impossible Homes","A treehouse with a vaulted ceiling taller than the tree.","Warm-lit timber vault suspended among giant trunks, rope bridge, figure crossing","other (treehouse hall)","forest (fictional giant trees)","warm_luxury + traditional timber","honey timber, amber lanterns, deep green, night blue","slow push along the rope bridge into the vault","10-12","Unbuilt No. 011 · AI concept","Send this to the person who'd climb up first.","Reichweite/Sends","treehouse: vpf 9,44, 58 % ≥5× Follower (n=26), adj aber nur 0,91 (Digest-Segment) → Reichweitenpotenzial, Größeneffekt unklar; KI forest nur 0,58 (n=63, 04-DB) → Wald nur als Kulisse","CTA: Send-Aufforderung vs. Choice-Frage","B (Woche 3–4)"
"C012","Unbuilt No. 012 – On the Crater Rim","P1 Impossible Homes","Hypothetically: would you sleep on the rim of a sleeping volcano?","Lit circular home on a crater edge with a glowing pool; figure standing at the rim","exterior_facade + pool","mountain (fictional crater)","brutalist shell + warm_luxury interior","black basalt, ember-orange lamps, warm stone, night blue","slow drone approach over the crater lip","8-10","Unbuilt No. 012 · AI concept","Yes or no? One word in the comments.","Reichweite/Kommentare","Choice-Hook Kommentare/View 5,67× (n=39, p<0,001, Digest Key contrasts; Ja/Nein-Frage entspricht eher Hook-Typ question 0,89 (n=137) → Übertragbarkeit offen); orange adj 1,10 (n=304, Digest-Segment; Farben nicht signifikanzgetestet); KI brutalist nur 0,77 (n=12, low confidence, 04-DB) → Brutalismus nur als Hülle","Hook: Ja/Nein-Frage vs. Statement","B (Woche 3–4)"
"C013","Unbuilt No. 013 – The Floating Front Steps","P1 Impossible Homes","The stairs to the front door aren't attached to anything.","Stone steps hovering in mid-air leading up to a lit doorway; figure mid-climb","stairs_hall + exterior_facade","none (misty plateau, fictional)","minimalist + warm_luxury","pale limestone, brass door glow, night-blue haze","slow tracking shot alongside the stairs, rising","8-10","Unbuilt No. 013 · AI concept","Would you trust step number seven?","Reichweite/Follows","stairs_hall gesamt 1,17 (n=75, Digest-Segment), KI 2,24 (n=16, 04-DB); Cover door_or_threshold 0,97 (n=242), innerhalb Accounts +4 Pp in Top-10 % (Digest-Within; Top-10 % = 28 Reels, kleine n)","Cover: ohne Text vs. Mini-Serientitel","A (Start, Woche 1–2)"
"C014","Unbuilt No. 014 – Living Inside a Geode","P1 Impossible Homes","Crack open the rock and there's a lounge inside.","Split boulder revealing an amber-crystal lounge glowing at night; figure on the sofa","living_room","rocky plateau (fictional)","glam_feminine + warm_luxury","amber crystal, cream boucle, brass, night blue (no purple)","slow push-in through the crack","8-10","Unbuilt No. 014 · AI concept","Comment SOFA for similar pieces (similar, not exact).","Kommentar-Keyword→DM mit Similar-Items-Liste (LTK Exact/Similar, Amazon Idea List – q02); Affiliate- und KI-Hinweis","KI glam_feminine 1,95 (n=15, Grenzwert, 04-DB); purple adj 0,82 (n=74, Digest-Segment) → Bernstein statt Lila; Shoppability high vs. low 1,01× (p=0,91, Digest Key contrasts)","CTA: Kommentar-Keyword vs. Choice-Frage","B (Woche 3–4)"
