shortcode,handle,meta_status,visual_status,media_type,followers_text,followers_at_fetch,posts_at_fetch,likes,comments,caption_len,caption_hashtags,caption_has_question,caption_emojis,caption_mentions,caption_link_hint,caption_comment_cta,caption,coder,source_file,room_primary,building_type,landscape,style_primary,style_secondary,palette_temp,brightness,lighting,view_through_window,people_present,cover_text,realism,production,production_evidence,shoppability,visual_quality,notable,caption_hook_category,caption_first_line,cta_type,location_claimed,price_claimed,ai_disclosed,account_kind_hint,language,rooms_visible,dominant_colors,materials,ambience_fx,cover_hooks
DKMeZCuvoTU,siriorsinterior,ok,ok,reel,547K followers,547000,2727,9276,69,619,29,True,8,0,False,False,"Modern Classic Luxury Bedroom ❤️✨  Kalau punya kamar tidur kayak gini, terasa nyaman ya? 🤭🌻  Menurut kalian bagaimana? kasih tahu di kolom komentar ya👇🏼✨🌱  #rumahrumahunik #inspirasirumahmungil #rumahmodernminimalis #rumahidamanku #rumahidaman #rumahklasik #rumahtropis #denahrumahminimalis #desaininterior #rumahmewah #designrumahmodern #desainrumahsederhana #inspirasidekorrumah #rumahcantik #rumahminimalismodern #desainminimalis #rumahkece #rumahkecil #interiorrumah #rumahminimalis #rumahtropismodern #luxuryhome #interiordesign #sibambo #sibambointerior #dekorasi #dekorasirumah #dekorasikamar #dekorasikamartidur",cover-v2-embed,cover_p1a_000.json,bedroom,none_visible,none,modern_luxury,classical_luxury,warm,bright,mixed,False,False,,aspirational_realistic,3d_render,"clean CG interior render look: flawless surfaces, uniform soft lighting, rendered rug/textiles; no AI mention in caption",high,high,Symmetric modern-classic bedroom with gold-trimmed coffered ceiling and gold ginkgo wall art; polished but generic render.,descriptive,Modern Classic Luxury Bedroom ❤️✨,question_engagement,,,False,designer_studio,id,bedroom,beige;white;gold;brown,marble;fabric;glass;metal,none,bed_focus
DNfsfoOPlFk,gmjinterior,ok,ok,reel,801K followers,801000,1755,4002,57,823,25,False,3,0,False,False,"Where modern elegance meets everyday comfort ✨ This master bedroom is designed with a seamless blend of warm wood, soft textures, and modern details, creating a sanctuary that is both elegant and deeply inviting. Every corner is crafted with precision — from the statement headboard wall to the sophisticated TV panel — offering not just comfort, but a lifestyle of timeless refinement.  Designed & Built by GMJ Interior 🏡✨  #GMJInterior #LuxuryBedroom #ModernLuxury #InteriorDesign #LuxuryInterior #BedroomGoals #DreamBedroom #InteriorInspiration #DesignDetails #LuxuryLifestyle #ContemporaryDesign #TropicalModern #ModernLiving #InteriorDecor #HomeInspiration #ElegantSpaces #HighEndDesign #InteriorDesigner #LuxuryHome #InteriorArchitecture #MasterBedroomDesign #MinimalLuxury #HomeGoals #InteriorStyling #ModernElegance",cover-v2-embed,cover_p1a_000.json,bedroom,none_visible,none,modern_luxury,dark_luxury,neutral,medium,mixed,False,False,,aspirational_realistic,3d_render,"photoreal render look: flawless surfaces, CG knitted throw and rug, perfect LED cove glow; caption claims designed & built but no camera noise",medium,high,"Backlit TV wall with wood slats, black marble panels and integrated desk seen past the bed; crisp high-res but low-drama framing.",aspirational,Where modern elegance meets everyday comfort ✨,none,,,False,designer_studio,en,bedroom;office,beige;black;grey;brown,wood;fabric;marble;glass;metal,none,none
DLJtY_mt3sV,insmultiverse,ok,ok,reel,79K followers,79000,453,12964,1376,314,11,True,0,1,False,True,Which bedroom would you pick to nap in? . . . The vibe is limitless—unlock it now. . Follow @insmultiverse for more inspiration. . . . #whichonewouldyoupick #chooseone #InspireVibeMultiverse #aestheticvibes #FantasyFusionAI #dreamscapevisuals #InspireVibe #visualinspiration #creativevibes #aivisuals #dreambedroom,cover-v2-embed,cover_p1a_000.json,bedroom,none_visible,space_sky,minimalist,,cool,dark,night_artificial,True,False,5,stylized_dreamy,ai_generated,caption hashtags #aivisuals #FantasyFusionAI; typical AI smoothness and uniform blue grading,medium,high,"Moonlit all-blue bedroom with full moon framed in a floor-to-ceiling window, numbered '5' as part of a pick-one series.",choice,Which bedroom would you pick to nap in?,question_engagement,,,True,ai_creator,en,bedroom,blue;white;grey,fabric;glass,city_lights,text_overlay;bed_focus;view_reveal
DMi17mcsosb,lifetime_interior_design,ok,no_cover,reel,294K followers,294000,3250,1453,39,833,20,True,9,3,False,True,A living room made for quiet luxury. ✨ This AI-designed space combines timeless elegance with modern sophistication — where comfort meets curated style. Every detail is crafted to elevate the atmosphere of elite living.  Would you relax here? Let us know your thoughts below. 🖤  Designed by: @lifetime_interior_design  Follow 👉🏻 @lifetime_interior_design for more luxury spaces  📩 hello@lifetimeinterior.de 👩🏻‍💻 www.lifetimeinterior.de 🌍 Based in Germany | Serving clients worldwide  #LuxuryLivingRoom #InteriorReels #LivingRoomInspo #AIInteriorDesign #ModernLuxury #DreamLivingRoom #HomeDesignGoals #ElegantInteriors #LuxuryHomeVibes #DesignLovers #InteriorDesignTrends #VisualDesign #AIHomeDesign #DigitalInteriorDesign #DesignerInteriors #BespokeLiving #LivingRoomDecor #LuxuryLifestyleDesign #QuietLuxuryHome #ReelsInteriorDesign,cover-v2-embed,cover_p1a_000.json,,,,,,,,,,,,,,,,,,aspirational,A living room made for quiet luxury. ✨,question_engagement,Germany,,True,designer_studio,en,,,,,
DThYGKkEokC,styltechinterior_official,ok,ok,reel,201K followers,201000,1199,5047,30,45,0,False,2,0,False,False,This Kitchen Looks Luxury on Another Level 😍🔥,cover-v2-embed,cover_p1a_000.json,kitchen,none_visible,none,modern_luxury,minimalist,neutral,medium,night_artificial,False,False,,real_existing,real_footage,"handheld phone-video look with compression noise, real branded appliances and reflections",high,medium,Glossy white handleless kitchen with smoked-glass LED-lit upper cabinets and black sink/faucet; ordinary phone walkthrough framing.,aspirational,This Kitchen Looks Luxury on Another Level 😍🔥,none,,,False,designer_studio,en,kitchen,white;black;grey;gold,marble;glass;metal,none,none
DSxrSKakvV9,verandaestatehomes,ok,ok,reel,371K followers,371000,3732,44512,467,520,5,False,0,0,False,False,"Post number 4 from 2025 This kitchen is a true sun-soaked haven! With large windows that let in an abundance of natural light, every detail shines beautifully. The white oak cabinets and expansive island create a warm and inviting atmosphere, perfect for family gatherings or casual meals. Top-of-the-line appliances and ample counter space make this kitchen as functional as it is stunning. It's a bright, welcoming space that is the heart of the home.  #kitchendesign #dreamkitchen #kitcheninspo #dreamhome #housegoals",cover-v2-embed,cover_p1a_000.json,kitchen,none_visible,forest,organic_modern,rustic_cozy,warm,bright,daylight,False,False,A SUN SOAKED DREAM HOME,real_existing,real_footage,"real architectural photo: natural sunlight patches on oak floor, real bare trees through windows, listing-photo look",medium,high,"Sunlit white-oak kitchen with black-framed windows leading to a stone-fireplace living room, headline text box 'A SUN SOAKED DREAM HOME'.",descriptive,Post number 4 from 2025,none,,,False,theme_page,en,kitchen;living_room,brown;white;black;beige,wood;marble;natural_stone;glass;metal,none,text_overlay
DVyzy-UEabK,atelier.karolina,ok,ok,reel,18K followers,18000,72,3309,47,120,5,False,2,0,False,False,Same bathroom. Two design directions. 🖤🤍 #bathroomdesign #bathroominspo #bathroomremodel #modernbathroom #luxurybathroom,cover-v2-embed,cover_p1a_000.json,bathroom,none_visible,none,dark_luxury,modern_luxury,warm,medium,night_artificial,False,False,,aspirational_realistic,ai_generated,"typical AI artifacts: merged/mismatched faucets on left sink, odd toilet+bidet placement and floating flush plate; not disclosed in caption",high,high,"Black-panelled bathroom with white marble vanity, vessel sinks and brass sconces; strong contrast but cover shows only one of the two promised directions.",choice,Same bathroom. Two design directions. 🖤🤍 #bathroomdesign #bathroominspo #bathroomremodel #modernbathroom #luxurybathroom,none,,,False,designer_studio,en,bathroom,black;white;gold;grey,marble;metal;wood;glass;fabric,none,none
DWO-wRhgK7L,itsblankcreative,ok,ok,reel,820K followers,820000,1654,9084,55,84,4,False,0,1,False,False,This incredible home is listed by @senadaadzem • #closet #fashion #mansion #designer,cover-v2-embed,cover_p1a_000.json,closet,none_visible,none,modern_luxury,glam_feminine,warm,bright,night_artificial,False,False,Custom Louis Vuitton Closet,real_existing,real_footage,"handheld gimbal-style footage through glass doors, real branded handbags, compression noise",high,medium,"Walk-in closet with oversized LV-monogram cabinet doors and a lit wall of designer handbags, shot through open glass doors with brand-name text hook.",descriptive,This incredible home is listed by @senadaadzem,none,,,False,theme_page,en,closet,white;beige;gold;pink,wood;glass;metal,none,text_overlay;door_or_threshold
DISCNIXO4nK,2pdesigners,ok,ok,reel,134K followers,134000,1648,15904,129,419,4,True,3,0,False,True,"This is what dining in style looks like.  A luxurious dining room designed with intention—where every detail tells a story. From metallic tones on the furniture to textured walls that add depth and elegance, this space is all about refined beauty.  ✔ Noble finishes ✔ Sophisticated color palette ✔ Atmosphere made for unforgettable moments  Would you dine here every night?  #decor #DiningRoom #ElegantSpaces #Interiors",cover-v2-embed,cover_p1a_000.json,dining,none_visible,none,modern_luxury,,neutral,bright,mixed,False,False,,aspirational_realistic,3d_render,"CG render look: uniform textures, perfect reflections on lacquered table, soft upscaled render; rounded screen-capture corners",high,medium,High-angle view of a 14-seat lacquered dining table under a sculptural bronze loop pendant with a lit glass wine wall behind.,aspirational,This is what dining in style looks like.,question_engagement,,,False,designer_studio,en,dining,grey;beige;brown;white,glass;marble;wood;fabric;metal;plants,none,none
DdW_0-CAk7K,02xh.o,ok,ok,reel,110K followers,110000,139,18255,176,71,2,False,0,0,False,False,Recomendando 3 marcas de Taobao para vestir Japandi:) #fashion #japandi,cover-v2-embed,cover_p1a_000.json,none_person_only,none_visible,none,other,,neutral,medium,daylight,False,True,Recomendaciones Marcas Japandi 淘宝网 Taobao.com,real_existing,real_footage,real photo of a person wearing clothing against a plain grey wall,high,medium,"Off-topic fashion reel: cropped person in cream jacket, white shirt and black tie with Taobao logo overlay; 'Japandi' refers to a clothing style, not an interior.",instructional,Recomendando 3 marcas de Taobao para vestir Japandi:) #fashion #japandi,none,,,False,lifestyle_influencer,es,,white;black;grey,fabric,none,text_overlay;person
