shortcode,url,handle,posted_at_utc,is_new,seen_last_week,age_days,views,metric,topic_index,topic_pct,in_top_quartile,followers,followers_source,vpf,tier,likes,comments,likes_per_view,n_topics,topics,topic_group,kw_room,kw_style,kw_setting,kw_combo,hook,hook_source,hook_h,ai_disclosed_kw,caption_first_line,code_room,code_style,code_hook,code_production,code_realism
DG-dfDMMxzF,https://www.instagram.com/reel/DG-dfDMMxzF/,sunt_mrr,2025-03-09T10:53:37.521000+00:00,False,,564.5,6800000,views,370.5722,1.0,True,2000000,embed_reel,3.4,3_VERY_GOOD,147260,1884,0.0217,1,cliff-house,unusual_home,whole_home,other,cliff,other × whole_home,descriptive,code,aspirational,True,Villa in the rock with a dream view .,pool,mediterranean,descriptive,ai_generated,stylized_dreamy
Db_Rbvopxsw,https://www.instagram.com/reel/Db_Rbvopxsw/,north_cascades_haven,2026-08-13T17:26:50.026000+00:00,False,,42.3,27900000,views,138.4615,1.0,True,,,,,,,,1,cozy-cabin-in-the-snow,cozy_ambience,whole_home,cozy_rustic,mountain_snow,cozy_rustic × whole_home,question,heuristic,question,False,Who's ready for this?❄️🌨️🤍 #winter #cabin #snow #river #pnw,,,,,
DIHSUx1PJ8j,https://www.instagram.com/reel/DIHSUx1PJ8j/,natural_._scenery,2025-04-06T17:40:39.747000+00:00,False,,536.3,74100000,views,131.9679,1.0,True,,,,,8800000,28200,0.1188,2,cozy-rain;rain-cozy,cozy_ambience,other,cozy_rustic,rain,cozy_rustic × other,descriptive,code,aspirational,False,This video was made for anyone looking for peace in the middle of a busy or overwhelming day.,bedroom,other,descriptive,real_footage,real_existing
DBWhf0koR7_,https://www.instagram.com/reel/DBWhf0koR7_/,soothenests,2024-10-20T16:02:05.474000+00:00,False,,704.3,45100000,views,129.5977,1.0,True,2000000,embed_reel,22.55,5_EXTREME_OUTLIER,2083010,6514,0.0462,2,dream-bedrooms;luxury-bedroom,luxury_room,bedroom,cozy_rustic,rain,cozy_rustic × bedroom,descriptive,heuristic,descriptive,False,"Raindrops on My Window, Euphoria in My Soul: Luxury Bedroom Bliss #cozybedroom #cozyapartment #euphoria",living_room,dark_luxury,,ai_generated,stylized_dreamy
DVY1P4AArWL,https://www.instagram.com/reel/DVY1P4AArWL/,fast_buildsx,2026-03-02T16:01:02.425000+00:00,False,,206.3,1600000,views,87.1935,0.9167,True,1000000,embed_reel,1.6,2_GOOD,39342,360,0.0246,1,cliff-house,unusual_home,whole_home,other,cliff,other × whole_home,curiosity,code,aspirational,False,Inside the World's Most Peaceful Cliffside Hideout 🏔️✨ Step inside this breathtaking,other,biophilic,curiosity,ai_generated,stylized_dreamy
C_Pf1dboaeJ,https://www.instagram.com/reel/C_Pf1dboaeJ/,siyad_abdali,2024-08-29T05:30:05.840000+00:00,False,,756.8,282000000,views,80.5714,1.0,True,4000000,account_lookup,70.5,5_EXTREME_OUTLIER,12000000,28800,0.0426,1,dream-room,fantasy_dream,other,other,none,other × other,none,code,descriptive,False,NA,bedroom,modern_luxury,none,ai_generated,stylized_dreamy
DV_a3j9jJ64,https://www.instagram.com/reel/DV_a3j9jJ64/,foorcrafts,2026-03-17T15:40:54.612000+00:00,False,,191.3,1300000,views,70.8447,0.8333,True,110000,embed_reel,11.8182,4_VIRAL,24377,280,0.0188,1,cliff-house,unusual_home,whole_home,other,cliff,other × whole_home,curiosity,code,descriptive,False,Building a Glass House on a Cliff 😳 | Insane Construction Process Step by Step Watch how,other,other,curiosity,ai_generated,fantasy_impossible
DPik9aHAdpr,https://www.instagram.com/reel/DPik9aHAdpr/,arunashokanphotography,2025-10-08T07:42:44.967000+00:00,False,,351.7,6100000,views,49.3927,1.0,True,19000,embed_reel,321.0526,5_EXTREME_OUTLIER,601644,1818,0.0986,1,biophilic-bedroom-design,style,bedroom,biophilic,none,biophilic × bedroom,descriptive,code,descriptive,False,Home 🌟 11:11,bedroom,biophilic,descriptive,real_footage,real_existing
DMYHlSWuqZK,https://www.instagram.com/reel/DMYHlSWuqZK/,clarazrd,2025-07-21T16:39:27.750000+00:00,False,,430.3,72100000,views,48.0667,1.0,True,297000,embed_reel,242.7609,5_EXTREME_OUTLIER,9084957,39500,0.126,1,luxury-penthouse,luxury_home,whole_home,modern_luxury,city_skyline,modern_luxury × whole_home,promotional,code,location,False,#forsale Penthouse NYC | I'm a Real Estate Agent in New York.,living_room,minimalist,promotional,real_footage,real_existing
C0ARCNMr6wK,https://www.instagram.com/reel/C0ARCNMr6wK/,cliffhousemaine,2023-11-23T21:46:49.330000+00:00,False,,1036.1,830000,views,45.2316,0.75,True,130000,embed_reel,6.3846,4_VIRAL,12067,69,0.0145,1,cliff-house,unusual_home,whole_home,other,cliff,other × whole_home,none,code,descriptive,False,Grateful…Wishing everyone a happy Thanksgiving from Cliff House Maine!,pool,other,none,real_footage,real_existing
